,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Afmid,2.96,2.96,2.23,4.53,7.15,12.82,9.72,4.75,1.1,2.84,2.1,1.42
Trp53tg5,0,0,0,0,0,0,0,0,0,0,0,0
Pigt,46.04,24.7,33.22,58.09,55.31,48.13,44.47,46.69,32.71,51.92,41.11,48.4
Wfdc2,11.24,7.72,7.58,8.67,8.32,6.03,5.17,9.45,2.54,3.06,0.51,2.14
Etv4,9.76,6.95,7.63,15.88,6.84,3.86,3.71,18.38,18.81,21.28,5.29,9.93
Eppin,0.73,0.57,0.16,0.42,0.71,0.49,0.33,0.6,0.37,0.36,0.57,0.64
Dbndd2,1.13,0.66,2.02,0.98,2.93,3.4,2.58,0.73,2.25,1.37,8.08,6.16
Mmp9,0.5,0.29,0.99,2.19,0.52,0.76,0.46,1.52,0.53,1.19,0.56,0.68
Slc12a5,2.66,1.97,1.73,1.05,0.96,0.97,1.24,2.94,1.78,1.76,2.72,2.82
Ghdc,5.97,4.45,5.76,8.59,8.54,6.37,7.22,6.64,3.4,3.95,3.45,3.67
Pltp,9.49,4.54,3.79,4.73,3.7,3.19,3.49,9.58,26.34,26.09,13.75,20.53
Slc12a7,24.43,13.64,13.84,25.91,18.43,19.99,18.64,24.5,13.54,24.14,20.13,16.58
Ctsa,57.98,44.16,38.39,49.24,45.47,31.34,37.91,58.9,39.76,56.12,47.63,58.31
Zswim1,7.43,5.03,6.14,8.51,5.13,4.69,4.17,6.9,11.19,15.54,18.14,17.01
Slc12a4,11.95,8.61,7.61,12.36,6.69,5.93,12.39,13.49,12.49,14.09,8.11,13.19
Spata25,0,0,0,0,0,0,0,0,0,0.07,0.12,0.15
Myo1c,13.78,9.75,10.51,16.65,12.07,12.87,13.45,16.9,10.08,15.75,10.5,10.76
Crk,72.24,50.29,41.28,72.57,45.13,48.75,62.11,85.76,48.19,68.63,52.88,56.57
Cox7c,259.8,159,260.11,298.86,510.65,351.5,208.7,245.23,193.75,269.98,214.65,220.8
Pitpna,71.21,65.49,66.3,86.24,94.09,76.31,84.49,93.28,62.91,74.43,85.91,66.47
Mlx,35.37,21.6,23.72,40.76,32.27,27.67,29.34,35.06,24.31,30.95,28.29,31.87
Fam134c,31.07,19.62,18.66,33.29,29.3,24.4,24.07,34.1,18.5,28.94,30.07,27.74
Jph2,1.41,0.89,0.48,0.81,0.6,0.59,0.52,1.3,0.31,0.57,0.47,0.58
Dhx58,1.5,0.4,0.61,1.41,0.4,0.51,0.7,1.45,0.37,1.19,0.27,0.38
Rab5a,61.08,47.55,46.58,62.9,51.92,56.91,57.57,64.11,45.09,62.8,44.28,55.19
Hspb9,0.19,0.22,0.05,0.11,0.3,0,0.14,0.22,0.18,0.18,0,0.06
Nkiras2,16.78,11.22,9.22,14.82,15.04,17.71,19.06,19.17,10.7,13.5,9.68,11.57
Ppp2r5c,53.24,28.51,27.96,55.14,39.41,46.85,38.35,60.15,28.38,45.47,30.8,31.25
Ift52,32.65,23.88,25.44,44.48,35.99,34.61,40.29,36.08,24.53,30.75,23.27,30.91
Mybl2,40.2,29.83,49.83,60.34,40.38,28.23,45.27,45.45,60.27,59.61,31.81,52.37
Sgk2,0.15,0.05,0.01,0.04,0,0.08,0.13,0.06,0.01,0.02,0.09,0.04
Eya2,0.58,0.6,0.18,0.61,0.69,0.31,0.95,1.07,0.94,1.1,1.68,3.86
Prl3c1,0,0,0,0,0,0,0,0,0,0,0,0
B4galt5,69.41,52.47,59.91,120.5,40.58,72.09,93.59,50.84,28.8,31.22,46.18,39.82
Gdap1l1,1.22,0.64,0.68,1.19,0.22,0.51,0.23,0.89,0.27,0.16,0.21,0.12
Hnf4a,2.9,1.54,0.1,0.07,0.03,0.01,0,2,0.11,0,0.07,0.01
Ptgis,9.57,5.87,5.36,8,9.19,5.82,5.71,11.61,3.82,5.76,4.64,5.74
Cadps2,3.41,1.87,0.91,2.32,1.83,4.83,3.37,3.47,1.14,1.86,2.56,1.2
Ddx27,48.98,38.18,41.86,63.61,55.04,58.84,56.91,52.65,60.32,70.33,64.03,60.05
Cyth3,27.44,20.52,17.9,26.23,17.27,28.76,49.53,28.21,18.81,23.4,21.21,29.57
Cyth4,2.99,1.8,0.82,1.49,1.19,1.07,1.12,2.91,0.63,0.91,1.01,0.95
Rac3,4.53,3.33,3.27,4.49,6.08,4.06,4.37,4.79,2.77,3.95,5.51,2.81
