,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Tmem214,29.18,17.34,15.78,24.1,24.38,21.36,18.61,33.88,17.5,29.29,20.03,22.62
Ralgps1,2.33,1.36,2.22,5.21,2.66,5.19,7.07,2.19,2.24,3.35,5.98,5.85
Agbl3,7.76,5.06,6.62,9.04,12.25,12.9,12,9.38,4.28,6.29,4.39,4.88
Vars2,10.04,6.73,9.27,13.4,11.71,12.28,17.15,12.67,7.4,9.45,12.03,10.57
Birc7,0,0,0,0.04,0,0,0,0,0,0,0.05,0
Gcnt1,6.54,3.59,2.66,5,2.38,3.14,4.14,7.61,3.96,6.98,3.84,5.37
Kif16b,14.09,10.39,8.79,19.43,13.84,18.61,21.17,13.47,10.08,13.14,14.52,13.96
Phb,94.57,66.42,103.51,156.87,154.33,73.26,74.64,141.12,144.66,128.63,174.81,142.45
Ythdf1,50.94,39.64,43.21,73.89,54.76,64.19,72.95,56.85,48.52,69.5,74.93,71.04
Itpkb,12.49,7.44,7.21,15.2,10.48,12.6,14.19,13.94,10.87,15.33,13.22,13.74
Baiap2l1,12.65,8.58,9.47,11.99,8.34,12.15,14.19,14.22,6.18,9.93,5.69,7.8
Garnl3,7.36,4.91,6.21,14.38,13.2,37.45,22.5,8.23,4.08,5.54,9.36,6.74
Pi4kb,19.35,13.56,16.36,27.25,23.24,20.09,24.8,20.18,15.86,20.82,34.52,25.58
Zcchc2,11.87,7.23,9.82,19.56,12.01,15.64,15.52,11.05,7.91,13.65,10.54,10.89
Bpgm,37.23,21.47,29.04,32.9,28.33,22.68,25.5,34.35,26.61,48.95,25.17,24.89
Zfhx3,7.09,3.06,1.53,2.47,1.14,1.73,2.94,5.46,1.2,3.01,2.91,1.67
Rnf146,49.69,33.32,32.95,57.62,47.25,49.13,49.81,58.45,33.23,43.57,34.3,36.39
Nipal2,0.66,0.26,0.33,1.05,0.99,1.23,1.18,0.54,0.61,0.66,0.94,0.85
Mrps34,21.51,16.53,19.37,19.28,27.94,18.69,19.19,25.55,18.02,21.48,15.1,19.91
Prl3a1,0,0,0,0,0,0,0,0,0,0,0,0
A230050P20Rik,1.54,1.68,3,4.53,4.74,3.73,3.28,2.65,1.97,3.41,2.66,2.62
Man2a2,27.39,14.91,13.24,31.86,21.38,23.19,19.33,31.34,14.65,31.64,15.23,16.73
Ctu1,3.88,2.65,2.83,4.95,4.32,3.46,3.34,6.01,3.19,4.55,2.98,2.99
Prl3b1,4.2,4.91,0.2,0.07,0.05,0,0,3.25,0.2,0.06,0,0
Fam117a,22.92,12.32,16.81,28.04,21.96,16.41,17.31,20.12,8.78,15.39,10.89,9.65
Irs2,5.22,2.47,0.83,2.31,0.81,1.61,2.14,6.5,2.58,6.16,4.15,3.59
Zfp653,7.08,4.76,4.9,6.46,7.61,7.91,7.98,8.35,4.57,7.06,4.89,5.54
Rpl12,1070.95,954.3,1370.92,1331.19,1765.17,1317.22,1381.84,1211.61,1146.85,1211.71,1035.3,1322.37
Pogz,54.1,31.1,25.85,50.44,24.91,31.79,34.34,45.21,23.79,45.24,47.54,36.6
Ccdc68,2.02,1.62,1.64,1.78,0.82,0.8,1.35,1.51,0.78,0.8,0.7,0.56
Kat7,53.32,47.23,44.92,76.48,38.12,58.38,85.75,49.7,54.81,61.98,80.54,72.05
Plcl2,8.03,5.41,8.32,14.03,12.5,12.32,12.43,7.97,7.34,8.04,8.39,8.62
Dido1,39.29,22.78,15.34,37.02,13.45,25.83,33.57,35.26,24.65,39.38,34.66,37.38
Soga3,1.95,1.07,0.27,0.6,0.18,0.17,0.31,2.01,1.08,1.36,0.76,0.81
3930402G23Rik,0.11,0.05,0.04,0.07,0.05,0.04,0.05,0.62,0.16,0.17,0.07,0.07
E330034G19Rik,0,0.05,0.02,0,0,0.08,0,0.03,0,0,0,0.02
Rccd1,13.5,9.64,8.32,8.12,8.75,7.12,9.66,18.1,8.61,12.44,10.05,11.55
Tcfl5,1.46,1.48,12.92,21.35,31.82,41.25,34.59,2.01,9.44,13.71,45.03,24.49
Sccpdh,51.8,40.06,75.95,83.25,72.03,71.21,122.28,55.12,55.1,51.73,37.29,63.67
Prc1,67.91,56.27,52.11,97.15,51.6,63.68,76.58,72.94,89.2,109.42,78.29,91.16
Cnst,11.12,7.93,4.86,8.09,4.36,6.18,7.85,10.7,4.92,7.51,4.94,6.17
Supt3,14.18,12.36,17.94,24.89,44.61,55.09,40.86,16.34,15.28,17.85,16.75,17.08
Edc3,13.35,7.67,7.43,19.21,12.42,14.48,14.36,14.87,9.19,14.21,17.18,14.65
Slco4a1,0.03,0,0.06,0.07,0.1,0.13,0.1,0.34,0.19,0.19,0.07,0.06
Ube2l3,301.48,133.08,140.8,335.36,263.9,288.96,133.72,249.31,131.41,322.89,262.97,206.54
Pdk2,16.09,9.85,11.76,19.07,17.19,15.2,17.21,15.37,6.66,10.37,8.51,8.01
Klk1b16,0,0,0,0,0,0,0,0,0,0,0,0
Lmtk2,9.05,4.62,3.45,8,3,6.31,7.56,7.7,3.65,6.71,4.65,4.62
Cldnd2,0,0,0,0,0,0,0,0,0,0,0.07,0
Rabggtb,82.57,54.34,56.1,83.2,77.34,61.17,61.21,109.18,59.73,92.16,81.52,81.19
Ppp1r9b,53.59,39.79,31.74,55.7,40.15,42.66,42.67,70.19,45.09,56.88,37.42,30.74
Rbbp8nl,0.02,0.02,0,0,0.04,0,0,0.07,0.01,0,0,0
Bloc1s5,19.48,12.87,14.59,20.4,21.38,22.25,18.17,18.22,12.33,16.38,16.47,14.84
Tspyl5,9.06,6.43,7.36,11.24,5.82,7.09,9.43,7.45,1.7,2.24,1.53,2.33
1700019L03Rik,1.41,0.12,1.02,0.94,0.4,0.54,1.1,0.35,0.13,1.46,0.26,0.21
Cables2,17.54,10.75,11.38,21,13.49,17.74,19.72,20.29,8.49,14.28,11.76,11.3
Txndc5,62.48,38.76,35.87,65.12,49.61,47.65,54.03,76.53,48.64,71.93,44.92,52.97
Hils1,0,0,0,0,0,0,0,0,0,0,0,0
Asb17,0.2,0.06,0.16,0.16,0.04,0.08,0.48,0.18,0.04,0.11,0.22,0.21
Ube3c,30.33,25.3,25.26,38.16,22.79,30.96,37.95,29.23,24.56,30.13,31.13,34.82
Rps21,1460.96,670.85,972.84,1338.49,2372.16,1918,763.11,1563.25,761.22,1830,1797.92,1040.06
Bmp6,2.66,1.96,1.36,2.04,1.7,2.01,1.88,2.65,1.05,0.91,1.75,1.4
Tlr4,0.87,0.44,0.23,0.43,0.27,0.29,0.22,0.88,0.2,0.32,0.25,0.19
Cpq,19.72,13.53,18.25,31.38,33.63,28.82,26.03,23.87,16.99,25.82,23.64,25.68
Siglecf,4.14,4.21,4.86,4.81,2.39,1.79,2.28,3.37,3.89,3.14,2.49,5.2
Timm8b,153.59,129.8,151.64,150.21,193.49,172.07,128.3,167.18,122.15,158.81,157.9,157.31
Mtg1,8.66,5.93,10.11,11.88,11.69,14.1,12.58,10.19,8.42,11.52,9.29,10.96
Ttc16,0.25,0.14,0.27,0.63,0.57,1.5,0.82,0.42,0.17,0.26,0.09,0.09
Arhgap18,42.34,25.04,16.57,37.39,18.04,27.32,27.13,44.36,25.8,43.24,24.82,30.37
Tsga13,0.09,0.06,0.19,0,0.2,0.42,0.3,0.08,0,0.09,0.14,0.11
Tasp1,9.87,5.88,8.34,14.02,14.05,14.79,10.6,9.62,8.12,9.56,11.19,9.17
St6galnac5,0.49,0.23,0.04,0.22,0.13,0.2,0.27,0.49,0.12,0.38,0.18,0.2
Adrm1,112.88,67.99,72.71,136.35,151.96,90.92,67.3,153.18,105.46,155.39,98.64,80.3
2610034B18Rik,15.01,8.84,7.89,13.08,12.19,13.27,10.23,15.84,7.79,11.06,12.11,10.98
Usp6nl,13.97,9.65,6.16,12.9,4.84,8.09,10.32,12.73,6.48,10.16,9,9.44
Pigk,22.13,12.76,16.63,27.38,28.53,34.25,29.99,23.3,15.21,22.34,15.44,17.97
Foxred1,15.69,13.68,12.42,18.43,13.48,18.87,21.86,20.65,13.99,15.5,11.35,15.75
Osbpl2,18.99,13.57,16.54,31.32,22.96,31.01,31.62,21.99,16.55,22.49,24.13,25.04
Eme1,27.58,19.83,14.81,15.69,12.18,17.74,14.78,27.42,20.16,29.25,22.42,20.89
Myo16,0.16,0.07,0.03,0.07,0.03,0.06,0.09,0.1,0.01,0.05,0.33,0.08
Ak5,2.15,1.25,0.8,1.73,1.93,2.08,1.5,2.74,2.68,3.21,3.6,2.6
Hrh3,0,0,0,0.07,0.04,0.07,0.07,0,0.14,0.11,0.12,0.32
Anpep,15.37,9.52,14.63,27.36,22.31,26.84,30.78,15.59,6.07,6.87,6.52,5.59
Echdc3,2.85,1.29,1.9,3.19,3.45,4.1,3.11,2.81,1.45,3.38,1.66,2.93
Fam173b,7.11,4.72,8.29,10.41,11.74,9.16,7.76,9.33,7.74,9.02,6.25,7.02
Psmd7,126.49,109.04,109.66,132.73,118.98,98.57,109.34,159.07,141,138.64,105.94,124.23
Zzz3,53.96,38.61,38.3,68.77,36.64,51.8,49.97,61.61,40.78,60.14,46.77,47.05
Mtg2,8.58,5.06,5.64,7.95,7.97,6.61,6.02,10.87,6.03,8.43,6.17,7.83
Cpa4,0.59,0.46,0.4,0.54,0.24,0.2,0.48,0.68,0.39,0.55,0.36,0.61
Trhr2,0,0,0.02,0,0,0,0,0,0,0,0,0
Zfp503,47.4,30.44,25.01,33.39,31.36,27.58,28.9,39.73,13.28,21.31,11.8,14.56
Chad,0.4,0.19,0.13,0.89,0.34,0.32,0.38,0.47,0.28,0.65,0.29,0.41
Ss18l1,5.27,3.15,3.31,6.76,4.99,6.47,6.5,6.25,2.62,4.77,6.06,4.23
Rreb1,25.99,16.03,10.57,23.4,7.48,15.23,22.48,30.25,14.75,27.54,21.22,20.83
L3mbtl3,20.44,11.64,7.28,13.42,7.51,9.83,12.81,19.24,8.31,13.95,9.28,10.52
Sptlc3,0.17,0.08,0.08,0.31,0.11,0.05,0.02,0.29,0.04,0,0.13,0.04
En2,0.09,0.1,0.26,0.68,1.14,1.79,1.7,0.23,0.13,0.1,0.05,0.04
Rsad1,1.76,2.28,2.2,2.74,1.63,1.83,2.5,2.24,1.72,2.41,2.76,2.65
Rln1,0.08,0.09,0.04,0.09,0,0,0,0.21,0.2,0.08,0.06,0
Gm9767,0,0,0,0,0,0,0.04,0.13,0.03,0,0.04,0.03
Wdr93,0.37,0.26,0.52,1.08,1.56,2.34,1.08,0.54,0.35,0.54,1.24,0.74
March6,34.57,17.95,15.2,39.61,22.32,41.51,42.21,37.53,18.32,36.62,24.89,30.1
Nexn,8.1,7.53,7.2,10.07,6.48,9.39,12.21,7.57,12.52,12.35,12.62,9.76
Atp6v1g1,81.86,74.04,75.94,93.24,114.64,107.41,95.42,100.86,71.58,87.04,76.09,77.9
Htr5a,0.08,0.06,0.04,0.01,0.01,0,0,0.02,0,0,0,0
Lsm14b,84.48,55.87,53.95,90.15,88.59,92.26,79.8,93.13,59.02,76.44,79.9,75.43
F13a1,5.82,3.07,1.09,1.49,0.9,0.97,1.21,4.35,0.65,0.94,1.4,1.2
Mycbpap,3.76,2.15,1.33,1.48,1.93,1.45,1.53,3.62,0.91,1.45,0.54,1.2
Nrn1,12.41,7.9,18.34,35.15,30.57,28.32,23.41,5.65,3.82,6.69,17.15,17.22
Itga9,35.99,19.54,7.98,21.05,11.14,16.59,16.54,36.82,47.29,102.68,81.75,73.01
Gpr126,2.34,1.62,1.52,2.88,1,1.63,1.66,1.64,0.59,0.74,0.62,0.72
Taf4a,28.09,19.67,17.21,32.07,18.54,25.36,26.47,26.6,17.05,25.7,18.78,17.87
Prune2,2.21,1.39,0.45,0.92,0.16,0.4,0.64,1.5,0.34,0.46,0.31,0.32
Cdc123,83.15,64.02,65.16,65.61,78.46,60.21,80.65,98.77,64.95,76.03,48.75,64.2
Zc3hc1,26.86,16.99,20.81,33.86,34.27,28.75,29.38,31.36,19.27,22.66,24.14,37.58
Gipc2,3.72,3.52,1.11,1.83,0.53,0.77,0.5,2.88,1.25,1.16,0.41,0.32
9330171B17Rik,0.58,0.08,0.11,0.21,0.11,0.16,0.34,0.26,0.11,0.2,0.14,0.17
Whrn,10.63,8.71,6.53,9.11,7.01,7.86,8.11,12.65,9.54,13.78,7.58,8.43
4930591A17Rik,0.16,0.14,0.04,0,0.18,0,0.28,0.14,0.3,0.31,3.25,1.17
Camk1d,2.15,1.09,1.57,2.85,1.16,1.67,2.15,1.3,2.27,2.95,4.04,4.99
Ifi44l,0,0,0,0,0,0,0.03,0,0,0,0.03,0
Sart1,29.75,22.62,19.98,28.74,25.21,23.05,23.79,34.34,25.39,33.01,34.67,30.36
Runx2,1.18,1.37,0.3,0.51,0.09,0.44,0.53,1.05,0.11,0.52,0.26,0.37
Shd,2.93,2.13,0.99,0.94,1.49,1.22,0.82,2.83,0.66,1.39,1.35,1.13
Cdh26,0.81,0.49,0.13,0.07,0.08,0.36,0.21,0.51,0.22,0.2,0.13,0.18
Stim2,15.32,11.21,11.99,17.65,15.74,17.56,16.89,18.02,10.5,13.91,9.86,12.74
Fam102a,16.9,11.73,10.91,18.35,13.34,13.63,15.79,22.34,11.26,17.89,11.7,10.87
Akna,4.8,3.25,2.08,3.94,2.12,2.74,3.32,4.79,3.5,4.55,2.77,2.8
Ube2h,103.55,137.63,112.74,162.8,77.6,130.21,162.56,102.13,98.86,94.77,268.51,181.32
Cmc1,19.87,22.23,16.08,16.87,18.17,12.79,15.23,21.26,17.94,16.31,21.66,20.43
Naif1,2.34,1.59,1.66,3.21,1.71,2.13,2.2,2.78,1.64,2.01,1.59,1.9
Akap7,39.39,21.09,21.61,32.5,22.5,31.36,29.73,39.13,20.12,31.09,15.96,19.85
Eltd1,13.33,8.28,4.34,8.69,2.73,3.8,5.29,9.45,3.35,4.71,3.3,3.4
Dap,69.43,78.7,44.22,59.07,64.78,57.67,45.96,64.21,52.26,50.36,37.92,31.62
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
Polg,31.24,20.04,27.33,56.96,41.14,38.23,46.77,40.25,30.11,44.58,31.85,29.84
Tbc1d19,30.93,12.13,13.13,19.26,15.01,14.55,14.13,30.66,10.82,19.3,11.57,11.9
Tekt5,0.4,0.18,0.32,0.21,0.39,0.15,0.27,0.61,0.3,0.73,3.03,1.32
AW209491,13.06,10.76,10.76,13.52,12.67,11.21,11.19,13.16,9.53,12.02,10.39,11.28
Nubp2,12.3,9.5,11.3,13.55,14.94,11.74,12.14,14.99,12.67,13.48,14.25,14.8
Fanci,12.2,8.48,10.91,22.55,11.67,20.81,23.94,10.55,12.58,15.96,10.72,14.86
Rbpj,20.43,15.36,12.4,23.12,13.65,29.76,30.22,18.44,11.6,18.95,20.43,21.59
Nlrc4,0.89,0.64,0.4,0.39,0.03,0.12,0.16,1.07,0.8,0.67,0.37,0.56
Rlbp1,0.13,0.26,0.07,0.13,0.07,0,0.13,0.31,0.15,0.17,0.09,0.16
1110008P14Rik,10.67,9.16,10.8,7.8,11.42,7.86,7.98,11.05,7.48,7.41,8.96,11.04
Orm1,0,0,0,0.08,0,0,0,0,0,0,0,0
Adk,37.55,33.52,43.75,58.29,51.02,57.8,60.5,43.2,27.54,30.25,30.19,32.92
Ptchd3,0.1,0.12,0.23,0.62,0.4,0.31,0.36,0.21,0.14,0.21,0.16,0.21
Zdhhc1,5.29,2.88,2.93,3.79,4.82,3.85,2.62,5.73,2.83,4.19,2.64,3.61
Atf7ip2,4.9,3.27,6.88,15.02,13.43,43.64,23.91,4.33,6.56,10.66,9.7,8.01
Tbc1d25,7.61,5.41,7.71,13.5,10.36,9.02,9.07,7.25,5,7.4,10.8,8.29
Abhd2,12.85,6.72,6.17,11.49,5.44,6.81,7.9,13.04,6.86,13.17,11.71,12.62
Ciz1,74.55,60.65,43.05,47,30.57,34.44,52.63,76.6,43.44,53.44,32.58,35.74
Daglb,2.42,1.28,1.29,2.03,2.77,3.59,2.86,2.52,0.98,1.9,1.9,1.67
Metrnl,1.94,1.25,1,1.46,2.1,1.88,1.23,2.48,1.32,2,2.7,1.76
Rpl39l,13.98,13,21.94,24.35,24.16,24,12.89,13.32,17.96,23.31,54.82,24.91
Gpatch2,17.72,11.49,7.09,17.38,9.6,15.54,16.6,18.25,10.52,16.03,19.05,16.1
Svs1,0,0,0,0,0,0,0,0,0,0,0,0
Il18,0.5,0.25,0.45,0.97,3.34,4.65,1.93,0.3,0.32,0.74,0.98,0.78
Srrm2,310.56,166.39,93.79,199.33,82.46,147.45,194.55,271.61,131.26,264.25,272.59,165.15
Arid4b,65.48,49.06,23.17,53.71,19.88,46.77,61.24,62.84,33.02,48.54,47.73,47.02
Ppp1r10,39.93,30.89,20.87,37.83,23.72,34.93,31.94,40.37,27.27,35.71,33.85,35.19
Rpl22l1,132.42,81.18,132.62,162.03,193.48,140.33,116.02,161.22,109.77,139.03,97.84,123.52
D1Pas1,0.92,0.44,0.88,2.2,3.44,11.69,5.73,0.6,0.89,1.62,4.26,2.14
Tbcd,19,18.36,25.29,22.17,23.72,22.86,28.61,21.66,19.91,18.71,21.6,23.06
Suv39h1,50.44,31.95,35.9,69.26,48.42,71.68,67.29,48.55,30.51,51.55,33.13,42.72
Stx11,5.13,3.75,6.25,9.2,5.07,8.36,6.49,2.87,1.27,1.83,1.15,1.53
Tbce,42.42,19.94,18.27,37.48,29.63,32.76,27.41,50.59,21.65,39.41,23.67,27.32
Sec24d,15.58,9.06,9.64,17.39,18,20.13,20.05,15.27,13.47,22.65,17.58,18.56
Isg20,0.35,0.03,0.37,0.1,0.31,0.2,0.36,0.18,0.16,0.37,0.87,0.25
Zfp750,1.05,1.35,1.75,2.02,0.68,0.6,0.8,1.47,4.42,3.03,5.24,5.9
Tgfb2,20.75,13.06,14.16,16.06,11.43,11.99,16.7,23.65,15.38,28.92,19.06,23.19
B3galnt2,18.7,13.36,12.5,17.41,14.11,18.47,16.92,20.01,12.65,16.72,16.38,14.11
E130309D02Rik,12.09,10.51,10.59,12.86,10.48,8.86,10.42,14.08,9.86,10.75,6.83,7.62
Lyplal1,20.34,14.84,15.89,17.36,15.61,11.54,21.91,22.8,12.93,17.51,12.55,15.99
Lgi2,0.72,0.44,0.44,1,0.73,0.69,1.02,0.63,1.25,2.37,1.97,1.9
Fn3krp,7.11,4.36,5.46,6.75,5.83,8.1,8.09,8.41,3.83,5.13,5.43,6.28
Pomt1,16.45,9.08,7.57,14.36,8.45,10.72,11.93,15,9.48,17.65,8.66,11.74
Vstm2b,3.55,3.38,3.41,3,4.8,4.71,4.22,3.13,2.34,3.01,2.16,2.73
Prrc2b,72.71,44.9,32.52,67.62,28.78,42.05,48.93,67.89,37.39,61.72,56.28,48.29
Npepl1,9.28,5.12,11,20.89,25.59,20.7,17.52,12.98,9.04,11.96,5.31,8.41
Gimap3,0.41,0.42,0.33,0.72,0.65,0.7,0.47,0.63,0.35,0.16,0.46,0.21
2300002M23Rik,0,0,0,0,0.03,0,0,0,0,0,0,0
Megf9,7.57,4.96,2.36,4.88,2.25,6.44,6.09,8.06,4.3,6.22,6.06,6.01
Foxk2,21.37,14.28,11.97,14.4,10.72,13.4,17.48,22.09,14.14,18.72,12.75,16.34
Pcsk1n,0.06,0.04,0.01,0,0.06,0.09,0,0.04,0.01,0,0.12,0.13
Azi2,48.54,41.62,41.87,57.4,42.37,51.14,57.91,48.92,46.75,57.75,50.1,60.87
Fndc3b,21.07,12.75,8.34,16.27,6.21,12.06,17.82,21.56,16.31,28.07,21.32,24.66
BC017643,18.78,11.79,11.22,18.01,15.78,14.35,19.09,21.84,10.8,12.12,10.74,12.06
Spdyb,0,0,0.01,0,0.03,0,0,0,0,0,0.02,0
Cdk5rap2,28.03,17.1,14.3,26.6,18.3,19.51,23.76,27.54,18.35,29.6,27.53,27.16
Tnfsf10,0.06,0.02,0.02,0.04,0.01,0.06,0.07,0.05,0.04,0.06,0.04,0.02
Hexdc,8.27,7.54,9.15,6.38,8.39,11.28,13.71,11.43,7.64,6.21,7.21,8.55
Ndst2,8.16,5.22,5.38,10.1,7.26,6.68,7.64,9.86,5.04,7.64,5.86,6.65
AF529169,0.37,0.23,0.24,0.4,0.16,0.19,0.22,0.41,0.43,0.7,0.25,0.28
Clnk,0.17,0.14,0.09,0.1,0.02,0,0.05,0.08,0.07,0.06,0,0.02
Rftn1,4.52,2.41,3.06,4.49,6.32,5.55,5.33,3.83,2.33,2.5,1.89,3.3
Rab3gap2,17.93,10.69,10.64,20.55,17,22.89,23.86,17.71,12.15,18.4,22.79,17.87
Uts2r,0.11,0.05,0.19,0.1,0.06,0.09,0.24,0.05,0.04,0.11,0.09,0.07
Igfbp2,38.78,33.22,114.54,130.58,205.98,103.39,123.71,46.58,31.26,23.62,34.62,30.26
Rnf122,6.8,4.07,2.74,4.58,3.67,3.22,3.2,8.24,3.77,4.83,3.21,3.66
Tex19.1,8.38,6.77,20.63,21.05,32.36,37.17,33.04,5.8,15.23,14.25,41.28,32.96
Tsga10ip,0.15,0,0.07,0.17,0.22,0.17,0,0.26,0,0.14,0.23,0.09
Spata16,0,0.01,0,0,0.06,0.12,0,0.02,0,0,0.09,0.02
Tex19.2,0.21,0.07,0.51,1.03,2.2,2.11,2.17,0.23,0.58,1.02,5.76,3.58
2010001E11Rik,0.08,0.01,0.03,0.05,0.02,0.16,0.06,0.02,0,0,0.03,0.01
Ankar,0,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0
Mettl22,7.02,10.56,23.43,12.99,22.49,16.97,27.34,10.76,16.21,12.65,20.47,21.3
Atp6v0e2,3.34,2.58,2.87,3.54,4.67,3.8,3.84,3.25,1.45,2.1,3.32,3.18
C130074G19Rik,23.5,16.63,31.84,58.52,42.19,38.94,39.38,29.23,11.76,15.42,11.17,11.98
Smarcal1,27.29,15.76,17.7,34.46,25.44,21.72,21.76,28.24,18.19,28.4,24.2,23.89
Exosc2,42.12,27.23,29.11,43.56,43.12,38.32,29.55,47.38,33.96,45.06,28.76,32.3
Fut11,11.35,7.4,7.37,15.79,11.15,15.29,16.62,14.09,8.74,15.51,10.1,15.08
Drd5,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0.02
Picalm,97.22,72.66,69.67,86.72,58.79,66.88,91.9,92.52,68.02,84.12,67.63,85.13
Sectm1b,0.05,0.07,0.01,0.07,0.05,0.12,0.1,0.12,0.03,0.14,0,0.09
Sec24c,54.23,35.11,25.65,43.62,26.91,30.69,36.9,62,33.02,49.69,36.96,42.82
March4,0.07,0.04,0.08,0.16,0.03,0.06,0.07,0.14,0.01,0.03,0.02,0.01
Wdr17,0.63,0.72,0.38,0.55,0.19,0.55,0.57,1.51,0.3,0.56,0.82,0.55
Synpo2l,0.37,0.16,0.12,0.29,0.31,0.28,0.31,0.31,0.17,0.38,0.11,0.17
Hlx,8.81,5.54,2.07,2.45,2.62,1.99,2.07,6.86,1.31,2.38,1.21,1.62
Wdr45,18.89,12.36,12.15,16.78,13.62,15.46,11.78,18.12,7.68,14.23,10.42,9.63
Dusp10,1.25,0.85,0.88,0.93,0.85,0.96,0.86,1.01,0.68,0.71,1.35,1.05
Cdh6,19.45,10.87,1.62,6.81,1.82,4.06,7.84,13.12,0.99,2.48,3.09,3.38
Ccdc81,0.11,0.08,0.24,0.35,0.17,0.13,0.06,0.15,0.05,0.19,0.21,0.06
Mreg,6.3,4.81,9.31,12.62,6.99,8.48,9.76,4.82,6.33,7.04,4.9,5.45
Neil3,13.41,9.28,8.06,8.96,9.85,11.41,14.56,13.13,9.19,11.95,7.54,8.91
Prss23,9.96,7.66,2.04,2.82,3.27,2.75,3.59,9.33,1.8,2.74,1.99,2.74
Prdm16,1.58,0.94,0.3,0.48,0.27,1.36,1.28,1.57,1.18,1.48,3.42,1.21
Heatr5b,13.58,8.02,5.99,11.82,7.44,16.97,15.97,12.23,6.7,11.62,11.75,9.32
Cntnap2,3.14,2.78,3.87,4.01,3.01,2.74,3.39,2.69,1.2,1.4,2.44,1.3
Alg1,11.54,7.33,10.37,21.57,24.55,19.94,15.31,14.77,9.69,18.28,17.61,15.3
Tmem135,11.02,8.64,7.25,12.92,10.04,12.24,12.91,13.71,5.49,11.83,7.8,9.92
Mtmr7,5.67,4.37,5.71,8.51,7.34,10.37,10.43,5.34,6.06,7.68,8.92,8.78
Ttc36,1.57,1.12,0.36,0.6,0.79,0.17,0.33,1.9,0.33,0.37,0.7,0.6
Prpf18,35.07,23.57,17.47,43.26,23.33,30.96,31.91,40.19,23.64,40.52,36.35,40.13
Dcxr,2.71,2.63,3.89,5.88,8.29,6.39,5.1,3.77,1.83,1.8,1.43,1.63
Snx22,2.43,0.97,1.04,1.81,1.57,1.36,1.22,2.77,1.15,2.1,1.35,1.42
Morc3,41.07,28.64,31.56,65.25,35.08,60.53,55.52,39.34,34.71,48.15,44.48,44.78
Ppl,1.34,0.66,0.39,0.88,0.6,0.95,0.95,0.8,0.28,0.23,0.3,0.12
Mtmr12,15.19,9.93,9.64,20.34,8.94,15.2,18.65,15,10.57,15.12,13.97,14.32
Tcta,5.41,4.62,5.09,6.22,8.29,7.47,8.35,6.66,3.44,5.15,4.46,6.04
Col10a1,0.01,0,0.02,0.05,0.01,0.02,0.01,0.01,0,0.03,0,0.03
Slc9a8,10.9,4.79,4.61,8.85,5.02,8.25,9.04,11.12,5.83,10.39,10.79,10.22
Zdhhc2,32.7,20.86,14.27,23.96,16.35,19.59,21.91,30.96,20.62,44.24,22.31,33.25
Ubn1,23.39,16.14,12.87,24,15.39,23.3,24.65,23.13,14.49,20.17,22.25,19.51
Wfs1,8.22,5.34,6.26,14.88,10.04,11.32,10.5,7.75,3.79,6.56,4.67,3.62
Prrx2,12.39,6.99,9.41,13.85,11.55,7.89,8.02,14.82,3.12,6.69,3.91,4.17
Tnrc18,68.4,50.43,33.24,53.43,23.04,30.39,41.76,68.42,30.55,47.93,49.95,36.23
Micu3,9.7,4.68,5.56,9.74,7.7,9.87,9.19,8.65,4.57,7.1,6.23,6.78
Nt5dc1,5.77,3.65,4.37,7.6,5.63,5.13,6.76,6.47,4.7,7.68,4.17,5.89
Nrtn,2.06,0.91,1.04,4.15,6.6,4.42,1.74,2.68,0.96,2.12,0.4,0.13
Asb6,11.48,6.14,7.33,8.9,7.6,9.61,8.25,14.83,7.51,12.94,7.97,10.65
Tspyl4,5.05,2.89,1.83,3.24,1.93,2.24,2.92,4.88,1.39,2.04,1.68,2.07
Cntn5,2.58,1.29,0.66,1.63,0.5,0.7,1.15,1.87,0.16,0.26,0.1,0.15
Ccdc27,0,0,0.01,0,0.02,0,0.04,0,0,0,0.03,0
Cdnf,0.73,0.43,1.48,3.43,2.23,2.9,4.17,1.15,1.45,2.34,1.25,1.41
Dse,16.91,11.21,6.93,11.34,7,8.08,8.84,18.89,12.58,17.58,10.65,13.66
Znfx1,10.97,8.19,8.86,15.22,8.63,13.19,16.42,9.95,13,14.61,24.07,19.33
Fam26d,0.1,0.07,0.03,0.06,0.04,0.01,0.05,0.11,0.02,0.01,0.02,0
Nup133,21.62,12.43,18.55,36.58,29.95,37.56,28.72,23.61,19.17,27.69,28.13,27.42
Uhrf1bp1,11.6,7.14,8.36,17.71,6.62,10.09,11.04,10.69,9.17,13.39,10.64,9.42
Ppp2r4,42.56,27.87,33.92,46.79,48.51,47.07,46.94,45.11,32.01,43.31,30.15,44.33
Cdsn,0.15,0.12,0.15,0.2,0.2,0.6,0.41,0.28,0.35,0.29,0.39,0.3
