"","x"
"640","Camk1"
"641","Camk1g"
"642","Camsap2"
"643","Capg"
"644","Capn2"
"645","Catsper2"
"646","Catsperz"
"647","Ccdc102a"
"648","Ccdc117"
"649","Ccdc138"
"650","Ccdc141"
"651","Ccdc39"
"652","Ccdc57"
"653","Ccdc68"
"654","Ccdc88a"
"655","Ccm2"
"656","Ccn4"
"657","Cdh16"
"658","Cdhr4"
"659","Cdiptos"
"660","Cdk17"
"661","Cdk2"
"662","Cdk20"
"663","Cdkn1c"
"664","Celf4"
"665","Cenps"
"666","Cenpt"
"667","Cep164"
"668","Cep78"
"669","Cept1"
"670","Cers5"
"671","Ces1h"
"672","Cfap410"
"673","Chd2"
"674","Chic2"
"675","Chkb"
"676","Chmp7"
"677","Chst12"
"678","Chst14"
"679","Chuk"
"680","Ciapin1"
"681","Clptm1l"
"682","Cnbd2"
"683","Col23a1"
"684","Col5a2"
"685","Col6a1"
"686","Col6a3"
"687","Colec12"
"688","Comt"
"689","Coq2"
"690","Coq8b"
"691","Coro1b"
"692","Cox19"
"693","Cped1"
"694","Cpt1a"
"695","Cpt1c"
"696","Cpxm1"
"697","Creb3l1"
"698","Creb3l4"
"699","Crocc"
"700","Crygc"
"701","Cryge"
"702","Cryz"
"703","Csad"
"704","Ctbp1"
"705","Cthrc1"
"706","Ctnnbl1"
"707","Cul1"
"708","Cul9"
"709","Cyb5a"
"710","Cyb5d1"
"711","Cyb5r3"
"712","Cyb5r4"
"713","Cyp20a1"
"714","Cyp2d22"
"715","Cyp46a1"
"716","Cyth3"
"717","D16Ertd472e"
"718","Daam2"
"719","Dbndd2"
"720","Dcn"
"721","Dctd"
"722","Dcun1d5"
"723","Ddah2"
"724","Ddx25"
"725","Ddx41"
"726","Ddx60"
"727","Dennd4a"
"728","Desi2"
"729","Dffb"
"730","Dhrs1"
"731","Dhrs4"
"732","Dhx40"
"733","Dipk1b"
"734","Dkk3"
"735","Dlc1"
"736","Dlg5"
"737","Dmrta1"
"738","Dnaaf3"
"739","Dnajb1"
"740","Dnajb2"
"741","Dnajb3"
"742","Dnajb9"
"743","Dnajc13"
"744","Dnase1l1"
"745","Dnph1"
"746","Dock11"
"747","Dpp8"
"748","Dppa4"
"749","Dusp18"
"750","Dusp22"
"751","Dync2h1"
"752","Dynll2"
"753","Dzip1"
"754","E2f5"
"755","E430018J23Rik"
"756","Ednra"
"757","Eed"
"758","Efcab1"
"759","Efna4"
"760","Ehhadh"
"761","Eif4e3"
"762","Elmo3"
"763","Emc10"
"764","Enho"
"765","Eno3"
"766","Epha4"
"767","Epha7"
"768","Eps8l1"
"769","Etfb"
"770","Etfdh"
"771","Ethe1"
"772","Evc"
"773","Evi5"
"774","Evl"
"775","Exo5"
"776","Exoc7"
"777","Exosc6"
"778","Fah"
"779","Fahd1"
"780","Fam118a"
"781","Fam118b"
"782","Fam149a"
"783","Fam171a1"
"784","Fam229b"
"785","Fbxo28"
"786","Fbxo31"
"787","Fbxw9"
"788","Fer"
"789","Fgd1"
"790","Fhip2a"
"791","Fig4"
"792","Filip1l"
"793","Fkbp1b"
"794","Fkbpl"
"795","Flot2"
"796","Flrt2"
"797","Fmo5"
"798","Focad"
"799","Fpgs"
"800","Fras1"
"801","Frem1"
"802","Frk"
"803","Frmd5"
"804","Fxyd2"
"805","Gabarap"
"806","Gal3st3"
"807","Galk1"
"808","Gas1"
"809","Gas8"
"810","Gata3"
"811","Gcfc2"
"812","Gck"
"813","Gdpd1"
"814","Get1"
"815","Get4"
"816","Gfra2"
"817","Ggnbp1"
"818","Ghdc"
"819","Ghr"
"820","Gjb5"
"821","Glul"
"822","Gm14322"
"823","Gm14325"
"824","Gm14326"
"825","Gm14418"
"826","Gm15446"
"827","Gm20878"
"828","Gm266"
"829","Gm3055"
"830","Gm4724"
"831","Gm5141"
"832","Gmcl1"
"833","Gna14"
"834","Gng11"
"835","Gng2"
"836","Gng3"
"837","Gnptab"
"838","Gopc"
"839","Gpatch3"
"840","Gramd3"
"841","Grk6"
"842","Grsf1"
"843","Gsn"
"844","Gtpbp6"
"845","Gucy1b1"
"846","Guf1"
"847","Guk1"
"848","Gypc"
"849","H2-DMa"
"850","H2bc27"
"851","H2bc8"
"852","H6pd"
"853","Hadha"
"854","Hadhb"
"855","Hdac10"
"856","Hdac11"
"857","Hdac8"
"858","Hddc3"
"859","Hdgfl3"
"860","Heph"
"861","Hilpda"
"862","Hmgn2-ps"
"863","Hnrnpll"
"864","Hoxc10"
"865","Hoxc4"
"866","Hoxc8"
"867","Hoxc9"
"868","Hoxd4"
"869","Hoxd9"
"870","Hsd17b11"
"871","Hspb8"
"872","Hspbap1"
"873","Hvcn1"
"874","Idh1"
"875","Ifitm1"
"876","Ift122"
"877","Ift27"
"878","Ift57"
"879","Ift80"
"880","Ift81"
"881","Igfbp3"
"882","Igfbp6"
"883","Ikbke"
"884","Il33"
"885","Imp3"
"886","Ino80b"
"887","Ints6l"
"888","Ip6k2"
"889","Irak1bp1"
"890","Islr"
"891","Itga2b"
"892","Itm2a"
"893","Itprid2"
"894","Jarid2"
"895","Jun"
"896","Jund"
"897","Katnal2"
"898","Kcnab1"
"899","Kcne4"
"900","Kcnip4"
"901","Kctd6"
