"","x"
"486","Cmc1"
"487","Cmc2"
"488","Cmtm6"
"489","Cmtm8"
"490","Cnga1"
"491","Cnih2"
"492","Cnksr3"
"493","Cnmd"
"494","Cnn3"
"495","Cnot1"
"496","Cnot3"
"497","Cnot6"
"498","Cnppd1"
"499","Cnpy2"
"500","Cnpy4"
"501","Cnst"
"502","Cntrl"
"503","Cntrob"
"504","Coa8"
"505","Cobll1"
"506","Coch"
"507","Cog1"
"508","Cog6"
"509","Col16a1"
"510","Col18a1"
"511","Col25a1"
"512","Col2a1"
"513","Col8a2"
"514","Col9a1"
"515","Col9a2"
"516","Commd1"
"517","Commd5"
"518","Commd9"
"519","Cops7b"
"520","Cops9"
"521","Coq9"
"522","Cox6a1"
"523","Cox6a2"
"524","Cox6b1"
"525","Cox8a"
"526","Cpq"
"527","Cpsf1"
"528","Cpsf4"
"529","Cpsf6"
"530","Cpsf7"
"531","Cracd"
"532","Cracdl"
"533","Cracr2b"
"534","Cradd"
"535","Crb3"
"536","Creb1"
"537","Creb3"
"538","Creb3l2"
"539","Creb5"
"540","Crebrf"
"541","Creld1"
"542","Crem"
"543","Crip1"
"544","Crispld2"
"545","Crkl"
"546","Crot"
"547","Crtc1"
"548","Cry2"
"549","Cryl1"
"550","Cse1l"
"551","Csf1"
"552","Csrnp1"
"553","Csrnp2"
"554","Csrp1"
"555","Cst13"
"556","Cst3"
"557","Cst9"
"558","Cstf2"
"559","Cstf2t"
"560","Ctbs"
"561","Ctc1"
"562","Ctnna3"
"563","Ctnnal1"
"564","Ctrb1"
"565","Ctsh"
"566","Ctsk"
"567","Ctsl"
"568","Ctso"
"569","Cul7"
"570","Cxadr"
"571","Cxxc1"
"572","Cyb5b"
"573","Cyb5r1"
"574","Cybc1"
"575","Cyp26b1"
"576","Cyp2j6"
"577","Cyp2s1"
"578","Cyp51"
"579","Cystm1"
"580","Cyth1"
"581","D030056L22Rik"
"582","Dach2"
"583","Dad1"
"584","Dag1"
"585","Dapk3"
"586","Daxx"
"587","Dbf4"
"588","Dbi"
"589","Dcaf1"
"590","Dcbld2"
"591","Dck"
"592","Dclre1b"
"593","Dcp1a"
"594","Dcp2"
"595","Dctn1"
"596","Dctn3"
"597","Dcun1d3"
"598","Ddah1"
"599","Ddb1"
"600","Ddb2"
"601","Ddhd1"
"602","Ddias"
"603","Ddr1"
"604","Ddrgk1"
"605","Ddx10"
"606","Ddx17"
"607","Ddx19a"
"608","Ddx39a"
"609","Ddx4"
"610","Ddx51"
"611","Ddx52"
"612","Ddx54"
"613","Ddx55"
"614","Def8"
"615","Defb19"
"616","Defb42"
"617","Dele1"
"618","Depdc1a"
"619","Depdc1b"
"620","Depdc5"
"621","Derl3"
"622","Desi1"
"623","Dgcr2"
"624","Dgcr8"
"625","Dgkd"
"626","Dgkq"
"627","Dglucy"
"628","Dhcr24"
"629","Dhh"
"630","Dhodh"
"631","Dhrs7b"
"632","Dhtkd1"
"633","Dhx15"
"634","Dhx16"
"635","Dhx30"
"636","Dhx32"
"637","Dhx33"
"638","Dhx34"
"639","Dhx37"
"640","Dhx38"
"641","Dhx9"
"642","Diaph1"
"643","Diaph3"
"644","Dip2a"
"645","Dis3l"
"646","Dis3l2"
"647","Dlat"
"648","Dlgap5"
"649","Dmap1"
"650","Dmd"
"651","Dmrt1"
"652","Dna2"
"653","Dnaaf10"
"654","Dnaaf2"
"655","Dnaaf5"
"656","Dnajc12"
"657","Dnajc16"
"658","Dnase2a"
"659","Dnm2"
"660","Dnm3"
"661","Dnmbp"
"662","Dnmt1"
"663","Dock1"
"664","Dock10"
"665","Dock6"
"666","Dok1"
"667","Dok5"
"668","Dok7"
"669","Dop1b"
"670","Dot1l"
"671","Dph2"
"672","Dpp3"
"673","Dppa3"
"674","Dpysl4"
"675","Dpysl5"
"676","Drosha"
"677","Dsn1"
"678","Dsp"
"679","Dstn"
"680","Dtd2"
"681","Dtl"
"682","Dtx1"
"683","Dtx4"
"684","Dus3l"
"685","Dusp4"
"686","Dusp6"
"687","Dusp9"
"688","Dvl2"
"689","Dxo"
"690","Dym"
"691","Dynlt1b"
"692","Dynlt3"
"693","Dyrk1a"
"694","Dyrk3"
"695","Dysf"
"696","E2f3"
"697","E2f7"
"698","E2f8"
"699","Eaf1"
"700","Ebf1"
"701","Echdc2"
"702","Echdc3"
"703","Ecm1"
"704","Ecrg4"
"705","Ect2"
"706","Edc3"
"707","Edc4"
"708","Edn1"
"709","Eef1aknmt"
"710","Eepd1"
"711","Efcab11"
"712","Efcab14"
"713","Efcab2"
"714","Efhc1"
"715","Efhd1"
"716","Efhd2"
"717","Eftud2"
"718","Ehd4"
"719","Ehmt1"
"720","Eif2ak1"
"721","Eif2ak3"
"722","Eif2b2"
"723","Eif2s3x"
"724","Eif3j2"
"725","Eif4a2"
"726","Eif4e"
"727","Eif4g1"
"728","Eif4g2"
"729","Eif4h"
"730","Eif5a"
"731","Eif5a2"
"732","Elac2"
"733","Elapor1"
"734","Elavl1"
"735","Elf4"
"736","Elk1"
"737","Elk4"
"738","Ell"
"739","Ell2"
"740","Elmo1"
"741","Elmo2"
"742","Elovl5"
"743","Elovl6"
"744","Emc4"
"745","Emc6"
"746","Emc7"
"747","Eme1"
"748","Emilin3"
"749","Eml2"
"750","Eml3"
"751","Enc1"
"752","Endov"
"753","Eno1"
"754","Enpp1"
"755","Enpp3"
"756","Enpp4"
"757","Enpp5"
"758","Entpd4"
"759","Entpd4b"
"760","Entpd5"
"761","Entpd6"
"762","Eny2"
"763","Ep400"
"764","Epas1"
"765","Epb41"
"766","Epdr1"
"767","Epha2"
"768","Ephb3"
"769","Ephb4"
"770","Ephb6"
"771","Epm2aip1"
"772","Epn1"
"773","Erap1"
"774","Erbb3"
"775","Ercc2"
"776","Ercc4"
"777","Ercc6"
"778","Ercc6l"
"779","Ergic1"
"780","Eri1"
"781","Erlin2"
"782","Ero1b"
"783","Esf1"
"784","Espl1"
"785","Espn"
"786","Esrp1"
"787","Esrp2"
"788","Ess2"
"789","Etfrf1"
"790","Etnk2"
"791","Etv1"
"792","Etv4"
"793","Etv5"
"794","Evi5l"
"795","Ewsr1"
"796","Exo1"
"797","Exoc3l2"
"798","Exoc6"
"799","Exoc6b"
"800","Exosc4"
"801","Extl2"
"802","Extl3"
"803","Eya1"
"804","Eya3"
"805","F2r"
"806","F2rl2"
"807","F3"
"808","Faap100"
"809","Fabp3"
"810","Fabp5"
"811","Fadd"
"812","Fads1"
"813","Fam102a"
"814","Fam110a"
"815","Fam110b"
"816","Fam111a"
"817","Fam122b"
"818","Fam135a"
"819","Fam168a"
"820","Fam169a"
"821","Fam171b"
"822","Fam174a"
"823","Fam174b"
"824","Fam181b"
"825","Fam184b"
"826","Fam187b"
"827","Fam220a"
