"","x"
"662","Cobl"
"663","Col11a1"
"664","Col12a1"
"665","Col1a1"
"666","Col1a2"
"667","Col22a1"
"668","Col26a1"
"669","Col3a1"
"670","Col4a1"
"671","Col4a2"
"672","Col4a5"
"673","Col5a1"
"674","Col6a2"
"675","Colec11"
"676","Commd10"
"677","Commd3"
"678","Commd6"
"679","Commd7"
"680","Cop1"
"681","Coprs"
"682","Copz2"
"683","Coq10a"
"684","Coq8a"
"685","Coro1a"
"686","Coro1c"
"687","Coro7"
"688","Cotl1"
"689","Cox10"
"690","Cox14"
"691","Cox16"
"692","Cox17"
"693","Cox4i2"
"694","Cox5b"
"695","Cox6b2"
"696","Cox6c"
"697","Cox7a1"
"698","Cox7a2l"
"699","Cox7c"
"700","Cpa1"
"701","Cpa2"
"702","Cpd"
"703","Cpe"
"704","Cpeb2"
"705","Cplx2"
"706","Cpm"
"707","Cpn1"
"708","Cpne2"
"709","Cpne3"
"710","Cpne5"
"711","Cpne8"
"712","Cpox"
"713","Cpt1b"
"714","Cpt2"
"715","Cr1l"
"716","Crabp1"
"717","Crabp2"
"718","Crb2"
"719","Crcp"
"720","Crebbp"
"721","Crebl2"
"722","Creg1"
"723","Crip3"
"724","Crispld1"
"725","Crls1"
"726","Crmp1"
"727","Crtc2"
"728","Cry1"
"729","Cryab"
"730","Cryba4"
"731","Crybb1"
"732","Crygb"
"733","Cryzl1"
"734","Cryzl2"
"735","Csdc2"
"736","Csf1r"
"737","Csf2rb"
"738","Csgalnact1"
"739","Csgalnact2"
"740","Csmd2"
"741","Csnk1d"
"742","Csnk1g2"
"743","Csnk2a2"
"744","Cspg4"
"745","Csrp2"
"746","Cst12"
"747","Cst8"
"748","Cstad"
"749","Cstb"
"750","Ct55"
"751","Ctdnep1"
"752","Ctdp1"
"753","Ctdspl"
"754","Ctf1"
"755","Cth"
"756","Ctnnbip1"
"757","Ctns"
"758","Ctps2"
"759","Ctrl"
"760","Ctsc"
"761","Ctse"
"762","Ctss"
"763","Ctsz"
"764","Cttnbp2"
"765","Cttnbp2nl"
"766","Ctxn1"
"767","Ctxn3"
"768","Cul4b"
"769","Cul5"
"770","Cutal"
"771","Cutc"
"772","Cux1"
"773","Cux2"
"774","Cwc25"
"775","Cwc27"
"776","Cx3cl1"
"777","Cx3cr1"
"778","Cxcl12"
"779","Cxcl13"
"780","Cxxc4"
"781","Cyb561"
"782","Cyb5d2"
"783","Cyba"
"784","Cyfip2"
"785","Cyhr1"
"786","Cyp11a1"
"787","Cyp11b1"
"788","Cyp17a1"
"789","Cyp1b1"
"790","Cyp21a1"
"791","Cyp2f2"
"792","Cyp4f13"
"793","Cyp4f14"
"794","Cyp4f15"
"795","Cyp4f16"
"796","Cyp4f17"
"797","Cyp4v3"
"798","Cyren"
"799","Cyria"
"800","Cyth4"
"801","Czib"
"802","D130040H23Rik"
"803","D430019H16Rik"
"804","D630039A03Rik"
"805","Dab1"
"806","Dab2"
"807","Dact1"
"808","Dact2"
"809","Dapk1"
"810","Dapk2"
"811","Dapp1"
"812","Dazap1"
"813","Dazl"
"814","Dbh"
"815","Dbn1"
"816","Dbndd1"
"817","Dbp"
"818","Dbt"
"819","Dcaf12l1"
"820","Dcaf12l2"
"821","Dcaf13"
"822","Dcaf4"
"823","Dcaf5"
"824","Dcbld1"
"825","Dchs1"
"826","Dclk1"
"827","Dct"
"828","Dctn5"
"829","Dctn6"
"830","Dcxr"
"831","Ddc"
"832","Ddhd2"
"833","Ddi2"
"834","Ddit3"
"835","Ddr2"
"836","Ddx6"
"837","Deaf1"
"838","Decr1"
"839","Decr2"
"840","Defb7"
"841","Degs1"
"842","Dennd11"
"843","Dennd1a"
"844","Dennd1c"
"845","Dennd2a"
"846","Dennd2d"
"847","Dennd4c"
"848","Dennd5a"
"849","Dennd5b"
"850","Dennd6a"
"851","Denr"
"852","Deptor"
"853","Des"
"854","Dgat2"
"855","Dgcr6"
"856","Dgkz"
"857","Dguok"
"858","Dhdh"
"859","Dhrs7"
"860","Dhx36"
"861","Dipk1a"
"862","Dipk2a"
"863","Dixdc1"
"864","Dlg4"
"865","Dlgap3"
"866","Dlk1"
"867","Dll1"
"868","Dmac1"
"869","Dmac2l"
"870","Dmc1"
"871","Dmpk"
"872","Dmrtc1a"
"873","Dmrtc2"
"874","Dmtn"
"875","Dnaaf1"
"876","Dnaaf4"
"877","Dnah1"
"878","Dnah7b"
"879","Dnaja4"
"880","Dnajc1"
"881","Dnajc15"
"882","Dnajc17"
"883","Dnajc19"
"884","Dnajc21"
"885","Dnajc28"
"886","Dnajc4"
"887","Dnmt3a"
"888","Doc2b"
"889","Dock2"
"890","Dock4"
"891","Dock9"
"892","Dok2"
"893","Dok4"
"894","Donson"
"895","Dpcd"
"896","Dpf1"
"897","Dpf3"
"898","Dph7"
"899","Dpm3"
"900","Dpp7"
"901","Dpp9"
"902","Dpysl3"
"903","Drp2"
"904","Dsc2"
"905","Dse"
"906","Dsg2"
"907","Dtd1"
"908","Dtnbp1"
"909","Dtwd1"
"910","Dtx2"
"911","Dtx3"
"912","Dus2"
"913","Dusp1"
"914","Dusp12"
"915","Dusp19"
"916","Dusp23"
"917","Dusp26"
"918","Dusp28"
"919","Dusp8"
"920","Dvl1"
"921","Dync1i1"
"922","Dync2li1"
"923","Dynlrb1"
"924","Dynlt1c"
"925","Dynlt2b"
"926","Dyrk1b"
"927","Dzip1l"
"928","E130308A19Rik"
"929","E130311K13Rik"
"930","E2f2"
"931","E2f4"
"932","Eaf2"
"933","Ebpl"
"934","Ece1"
"935","Ecel1"
"936","Ech1"
"937","Eci1"
"938","Eci2"
"939","Edaradd"
"940","Edem1"
"941","Edil3"
"942","Edn2"
"943","Edn3"
"944","Ednrb"
"945","Eea1"
"946","Eef1akmt2"
"947","Eef1b2"
"948","Eef1g"
"949","Eef2kmt"
"950","Efcab7"
"951","Efna1"
"952","Efna3"
"953","Efna5"
"954","Efnb1"
"955","Efnb2"
"956","Efnb3"
"957","Efs"
"958","Egfl6"
