"","x"
"618","9130401M01Rik"
"619","Gm8797"
"620","Srp54b"
"621","Pnp"
"622","Dbt"
"623","Tbrg4"
"624","Raf1"
"625","Wdr77"
"626","Dynlt1c"
"627","Dnajc5"
"628","Ilf2"
"629","Sp1"
"630","Smg5"
"631","Stk38l"
"632","Gstt3"
"633","Clpb"
"634","Nacc1"
"635","Fam98a"
"636","Supt6"
"637","Dbf4"
"638","Hltf"
"639","Ccdc97"
"640","Cse1l"
"641","Adprh"
"642","Tmem39a"
"643","Ranbp2"
"644","Brd8"
"645","Kif20a"
"646","Trmt10a"
"647","Dnajb11"
"648","Coro1c"
"649","Tax1bp1"
"650","Rab23"
"651","Dlst"
"652","Plod3"
"653","Hnrnpa2b1"
"654","Ripk4"
"655","Ufd1"
"656","Insr"
"657","Eif4g2"
"658","Metap1"
"659","Ergic3"
"660","Uqcc1"
"661","Upk1a"
"662","Rbm14"
"663","Pdk1"
"664","Ptbp1"
"665","Hfe"
"666","Qrich1"
"667","Hap1"
"668","Bcl2l1"
"669","Zfp655"
"670","Zmiz1"
"671","1700109H08Rik"
"672","Man1a2"
"673","Cbx5"
"674","Spire2"
"675","Tbrg1"
"676","Zfp296"
"677","Pgam1"
"678","Tmem167"
"679","Tmem87b"
"680","Surf4"
"681","Yes1"
"682","Gorasp2"
"683","Abca1"
"684","Nipsnap3b"
"685","Gdi1"
"686","Prune1"
"687","Capza2"
"688","Anp32e"
"689","Slc25a5"
"690","Ndufa1"
"691","Scube1"
"692","Tox4"
"693","Plcg1"
"694","Zc3h18"
"695","Med1"
"696","Uchl5"
"697","Tomm34"
"698","Kpna2"
"699","Appbp2"
"700","Ndel1"
"701","Fxr2"
"702","Pank3"
"703","Wwc1"
"704","Arrb1"
"705","Atp6v1e1"
"706","Calm3"
"707","Ddx39b"
"708","Mydgf"
"709","Tube1"
"710","Prep"
"711","Rtn4ip1"
"712","Reep3"
"713","Serinc1"
"714","Nudt4"
"715","Hsp90b1"
"716","Ppa1"
"717","Pno1"
"718","Cobl"
"719","Snrpd3"
"720","Ddc"
"721","Mdm2"
"722","Pex13"
"723","Stc2"
"724","Cdc34"
"725","Erlec1"
"726","Mdh1"
"727","Ccng1"
"728","Nudcd2"
"729","Mgat1"
"730","Ppp2ca"
"731","Canx"
"732","Ube2b"
"733","Cdkn2aipnl"
"734","Hus1"
"735","Smtn"
"736","Pnpt1"
"737","Efemp1"
"738","Aebp1"
"739","Prr11"
"740","Galnt10"
"741","Pdia6"
"742","Gna13"
"743","Ubxn2a"
"744","Mboat2"
"745","Ncoa1"
"746","Rrm2"
"747","Ftsj3"
"748","Jpt1"
"749","Sumo2"
"750","Atp2a3"
"751","Lrrc59"
"752","Slc35b1"
"753","Gosr2"
"754","Sel1l"
"755","Nemf"
"756","Sec23a"
"757","Pnn"
"758","Ptpn21"
"759","Tmx1"
"760","Snapc1"
"761","Vrk1"
"762","Fbln5"
"763","Ppp4r4"
"764","Coq6"
"765","Tmed10"
"766","Xrcc3"
"767","Ggps1"
"768","Carmil1"
"769","Ssr1"
"770","Ror2"
"771","Sptlc1"
"772","Lman2"
"773","Trip13"
"774","Zcchc9"
"775","Jmy"
"776","Ube2e1"
"777","Ero1a"
"778","Arf4"
"779","Nisch"
"780","Xpo4"
"781","Dcp1a"
"782","Extl3"
"783","Gpalpp1"
"784","Bora"
"785","Cln5"
"786","Nup155"
"787","Rab2b"
"788","Rnf19a"
"789","Shcbp1"
"790","Zfat"
"791","Eny2"
"792","Myc"
"793","Xpnpep3"
"794","Mief1"
"795","Tomm22"
"796","Dmc1"
"797","Cep97"
"798","Bbx"
"799","Naa50"
"800","Usp7"
"801","Riox2"
"802","Cldnd1"
"803","Tfg"
"804","Snap29"
"805","Sdf2l1"
"806","Senp5"
"807","Dnm1l"
"808","Tfrc"
"809","Itgb5"
"810","Gtf2e1"
"811","Btg3"
"812","Mrpl39"
"813","Kpna1"
"814","Son"
"815","Enah"
"816","Smarcd1"
"817","Larp4"
"818","Atf1"
"819","Slc11a2"
"820","Calcoco1"
"821","Rttn"
"822","Akirin1"
"823","Noct"
"824","Bsg"
"825","Creld2"
"826","Cela3b"
"827","Enpp4"
"828","Foxp4"
"829","Strn"
"830","Vapa"
"831","Atp6v0c"
"832","Mlst8"
"833","Mcfd2"
"834","Jpt2"
"835","Nudt3"
"836","Anks1"
"837","Hspa9"
"838","Dcp2"
"839","Pggt1b"
"840","Mal2"
"841","Smad2"
"842","C330018D20Rik"
"843","Prrc1"
"844","Cndp2"
"845","Mrpl16"
"846","Zfp91"
"847","Rfk"
"848","Lipa"
"849","Ak3"
"850","Rpp30"
"851","Pcgf5"
"852","Dmrt1"
"853","Pip5k1b"
"854","Aldh3b1"
"855","Eif3a"
"856","Lcor"
"857","Smndc1"
"858","Mxi1"
"859","Sfr1"
"860","Nhlrc2"
"861","P4hb"
"862","Arhgap19"
"863","Entpd7"
"864","Gbf1"
"865","Gnl3l"
"866","Apex2"
"867","Sp4"
"868","Kdm5c"
"869","Sbds"
"870","Ormdl2"
"871","Pa2g4"
"872","Gusb"
"873","Eif4a3"
"874","Bach1"
"875","Rab40c"
"876","D3Ertd751e"
"877","Nudt5"
"878","Pdia4"
"879","Xiap"
"880","4833439L19Rik"
"881","Eya1"
"882","Akr1cl"
"883","Rpe"
"884","Trak2"
"885","Prim2"
"886","Rhbdd1"
"887","Cnot9"
"888","Ctdsp1"
"889","Trip12"
"890","Stk25"
"891","Gin1"
"892","Dars"
"893","Pfkfb2"
"894","Nucks1"
"895","Xpr1"
"896","Acbd3"
"897","Copa"
"898","Mpc2"
"899","Bpnt1"
"900","Ppp6c"
"901","Arpc5l"
"902","Odf2"
"903","Ak1"
"904","Fubp3"
"905","Tor1b"
"906","Hspa5"
"907","Sec16a"
"908","Pmpca"
"909","Pkp4"
"910","Stk39"
"911","Fastkd1"
"912","Katnbl1"
"913","Traf6"
"914","Pdia3"
"915","Mkks"
"916","Ehd4"
"917","Fam98b"
"918","Spred1"
"919","Rrbp1"
"920","Polr3f"
"921","Sec23b"
"922","Mapre1"
"923","Pkia"
"924","Tpd52"
"925","Arfgap1"
"926","Zbtb46"
"927","Pcmtd2"
"928","Ahcy"
"929","Rpn2"
"930","Skil"
"931","Rab33b"
"932","Gfm1"
"933","Serp1"
"934","Gpsm2"
"935","Sass6"
"936","Rnpc3"
"937","Cks1b"
"938","Rprd2"
"939","F3"
"940","Zranb2"
"941","Bcl10"
"942","Sdcbp"
"943","Smc2"
"944","Tmeff1"
"945","Kdm4c"
"946","Zdhhc21"
"947","Slc44a1"
"948","B4galt1"
"949","Nfx1"
"950","Elavl4"
"951","P3h1"
"952","Slc2a1"
"953","Mycbp"
"954","Ccdc163"
"955","Ptpn12"
"956","Fbxo42"
"957","Abcb8"
"958","Hycc1"
"959","Sdf4"
"960","Htt"
"961","Mapre3"
"962","D5Ertd579e"
"963","Slc30a9"
"964","Enoph1"
"965","Hnrnpdl"
"966","Ddx55"
"967","Tmed2"
"968","Diablo"
"969","Cct6a"
"970","P2rx4"
"971","Pgam5"
"972","Golga3"
"973","Tmem106b"
"974","Wipi2"
"975","Arpc1a"
"976","N4bp2l2"
"977","Auts2"
"978","Gcc1"
"979","Calu"
"980","Ahcyl2"
"981","Mtpn"
"982","Rab19"
"983","Gfpt1"
"984","Copg1"
"985","Tmf1"
"986","Rpn1"
"987","Sec61a1"
"988","Adipor2"
"989","Aebp2"
"990","Golt1b"
"991","Creld1"
"992","Sec13"
"993","Pdcd5"
"994","U2af2"
"995","Nipa2"
"996","Mfge8"
"997","Coq7"
"998","Pde2a"
"999","Aldoa"
"1000","Acer3"
"1001","Usp11"
"1002","Slc35a2"
"1003","Dynlt3"
"1004","Cstf2"
"1005","Mtm1"
"1006","Ap1s2"
"1007","Piga"
"1008","Morf4l2"
"1009","Erlin2"
"1010","Saraf"
"1011","Adam9"
"1012","Plpp5"
"1013","Vps37a"
"1014","Cnot7"
"1015","Galnt7"
"1016","Hpgd"
"1017","N4bp1"
"1018","Got2"
"1019","Lsm6"
"1020","Dnaja2"
"1021","Itfg1"
"1022","Mt4"
"1023","Mt2"
"1024","Map1lc3b"
"1025","Lsm4"
"1026","Lpar2"
"1027","Adat1"
"1028","Gabarapl2"
"1029","Cog2"
"1030","Birc3"
"1031","Dcps"
"1032","Rdx"
"1033","Arcn1"
"1034","Ddx6"
"1035","Hmbs"
"1036","Tmed1"
"1037","Tent5a"
"1038","Ireb2"
"1039","Mpi"
"1040","Tmem30a"
"1041","Cox7a2"
"1042","Lrrc1"
"1043","Rwdd2a"
"1044","Syncrip"
"1045","Copb2"
"1046","Dhx30"
"1047","Nktr"
"1048","Ss18l2"
"1049","Topbp1"
"1050","Manf"
"1051","Malt1"
"1052","Trib3"
"1053","Inppl1"
"1054","Bet1"
"1055","Cdv3"
"1056","Nfyc"
"1057","Nup93"
"1058","Apmap"
"1059","Mzt1"
"1060","Mif"
"1061","Pus7l"
"1062","Usp37"
"1063","Cacul1"
"1064","Gtf2a2"
