,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Gcg,0,0,0,0,0,0,0.05,0,0,0.04,0,0
Ndufa9,77.24,71.48,83.94,77.02,109.83,77.24,85.51,124.09,106.57,104.99,92.24,99.41
Egfl6,4.2,3.06,5.18,13.07,27.03,1.4,1.87,26.14,27.11,28.81,2.27,1.94
Lck,11.42,8.58,9.63,5.84,12.94,3.19,3.91,5.66,5.49,4.18,4.43,2.79
Tssk3,0,0,0,0,0,0.03,0,0.03,0.18,0.04,0,0
Cttnbp2,7.09,3.96,7.8,1.52,4.1,2.31,4.06,1.77,2.83,5.2,3.51,4.17
Galnt1,96.01,67.29,104.4,77.68,139.76,78.29,112.3,78.37,92.91,98.52,102.52,107.37
Myf5,0.02,0.01,0,0,0,0.01,0,0,0,0.02,0.04,0
Mkrn2,11.8,11.64,11.62,13.04,15.2,11.48,15.23,13.72,14.17,16.12,23,16.81
Pparg,0.92,0.33,0.99,0.61,1.31,0.2,0.11,3.43,9.12,5.92,0.12,0.18
Raf1,47.47,30.29,50.7,27.42,43.34,26.81,42.01,36.84,52.51,44.93,31.27,32.55
Septin1,16.57,6.23,14.81,6.35,7.59,5.66,10.63,7.41,6.27,6.56,5.5,7.98
Pdgfb,3.88,3.52,4.12,2.19,2.57,4.52,7.05,1.97,1.54,2.18,3.61,3.94
Acvrl1,12.27,9.48,12.74,5.89,10.77,10.44,15.94,6.99,5.73,6.96,11.59,12.06
Tamalin,13.19,8.86,15.38,10.13,14.08,10.39,14.5,12.93,10.9,9.58,7.24,8.8
Acvr1b,14.04,8.43,13.39,7.7,13.79,8.43,13.24,7.21,9.17,9.83,12.3,11.24
Tom1l2,7.89,5.62,8.53,4.45,6.87,5.87,10.14,5.69,8.95,8.4,12.68,9.76
Gpa33,0.98,0.8,0.61,0.81,0.8,0.22,0.78,0.33,0.22,0.78,0.43,0.4
Zfp385a,9.56,7.35,8.76,7.19,10.16,5.27,7.69,11.56,15.3,12.03,8.28,7.47
Itga5,14.84,10.07,18.85,7.23,12.46,9.1,13.42,9.3,9.81,11.37,7.86,8.57
Gabra2,0.04,0.07,0.08,0.07,0.04,0.02,0.03,0.23,0.1,0.2,0.07,0.06
Wdr77,30.97,16.86,42.69,23.08,50.55,25.14,42.88,35.81,30.4,30.98,26.96,33.52
Adora3,0.09,0.09,0.15,0.02,0.05,0.03,0,0.1,0.05,0.04,0,0.09
Atp5pb,279.02,229.91,305.32,303.02,370.92,294.77,290.24,511.93,541.56,564.89,182.58,256.68
Sox9,6.1,3.42,66.8,1.32,2.03,23.64,45.53,1.54,1.72,1.99,26.06,25.16
Hnrnpd,830.48,704.65,921.93,660.1,766.15,786.36,829.12,555.4,583.25,823.81,463.79,699.54
Dynlt1c,16.65,8.28,16.56,8.34,9.45,7.71,22.43,6.4,8.34,9.8,10.48,18.43
C1d,44.97,26.95,63.86,32.14,45.23,31.95,36.46,52.61,35.7,33.18,21.93,25.17
Gm2a,14.61,10.73,22.48,14.74,21.54,19.33,30.42,20.44,17.87,15.43,28.52,27.91
Krit1,35.38,26.16,35.66,20.92,30.95,20.71,37.88,21.34,38.88,35.72,30.46,30.34
Clcn4,15.4,12.47,18.07,5.6,12.44,7.37,13.04,8.1,9.72,10.84,13.85,16.05
Vmn2r88,0,0,0,0,0,0,0,0,0,0,0,0
Grm6,0,0.01,0,0.01,0,0.01,0.03,0,0.05,0.07,0.01,0
Sema4f,0.69,0.27,0.76,0.72,2.12,0.45,0.63,2.07,2.07,2.14,0.42,0.5
Hk2,22.11,10.76,27.96,11.45,19.37,13.21,25.3,13.72,9,11.31,12.81,15.25
Myo18a,48.2,24.2,47.56,12.84,34.3,37.04,67.99,22.79,25.65,19.82,48.91,34.97
Sez6,0.04,0.09,0.14,0.42,0.68,0.33,0.23,0.26,0.78,0.81,0.27,0.34
Haao,1.23,0.6,0.71,1.84,4.86,0.01,0.15,3.28,2.2,2.36,0.06,0.08
Cd52,1.8,1.47,2.08,0.83,0.63,0.16,1.08,1.18,0.81,0.89,1.18,0.95
Abhd15,0.18,0.33,0.08,0.11,0.29,0.19,0.18,0.17,0.42,0.26,0.08,0.15
Hoxb6,8.1,4.56,7.2,0.63,0.91,0.43,0.86,0.61,0.42,0.31,0.4,0.42
Loxl3,7.56,4.67,8.79,2.63,4.04,4.86,9.37,3.79,3.82,3.62,5.85,5.39
Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0
Btn1a1,1.38,0.81,1.22,0.21,0.37,1.03,1.84,0.18,0.26,0.47,1.7,1.56
Kat2b,10.92,7.36,6.83,7.27,6.93,7.35,8.43,3.95,4.98,6.65,9.3,9.96
Rab5b,43.3,27.65,42.93,25.07,47.32,22.83,35.62,30.13,46.23,43.36,29.19,33.48
Cryba1,0,0,0,0,0,0,0,0,0,0,0,0
Dnmt3l,0,0.03,0.03,0,0,0.02,0.06,0.09,0,0,32.37,2.27
Aire,1.95,1.12,2.66,0.6,0.71,0.54,0.38,0.58,0.84,0.83,0.12,0.03
Icosl,2.05,1.13,2.51,1.42,1.95,0.76,1.35,1.45,1.41,1.37,2.2,1.49
Spg7,40.84,35.06,52.54,33.08,48.19,40.94,53.24,47.34,44.77,49.43,37.32,43.47
Sult5a1,2.84,1,3.81,2.28,3.1,1.13,2.44,3.29,2.08,2.6,1.5,1.53
Rpl13,1191.39,872.9,1513.12,1461.31,1590.5,1321.66,1472.29,2262.81,1623.05,1499.85,1305.74,1592.79
Chmp1a,23.04,13.06,26.31,23.03,32.34,17.98,26.22,35.78,25.66,25.79,18.24,20.82
Rpa1,82.93,52.58,98.16,66.78,111.61,74.81,101.11,73.74,67.39,65.33,84.2,85.14
Serpinf1,63.51,87.87,71.45,78.26,56.38,42.71,31.63,82.51,52.78,93.43,34.17,41.82
Tubgcp3,30.49,17.96,33.22,18.74,31.49,21.14,34.23,25.09,30.09,29.69,24.58,25.9
Oprm1,0,0,0,0,0,0,0,0,0,0,0,0
Polr3d,54.01,42.75,66.01,52.14,67.87,68.9,77.28,44.14,46.72,50.31,73,80.59
Tcf7,28.75,20.78,30.76,38,60.94,37.04,48.29,44.46,43,50.09,51.87,53.73
Ddx3x,453.19,377.29,331.51,216.74,496.01,250.33,347.53,161.8,308.16,421.56,571.2,448.33
Il12rb1,0,0.04,0.2,0.16,0.2,0.08,0.03,0.03,0.1,0.42,0.06,0.07
Slc5a5,0.52,0.59,0.48,0.82,0.57,0.25,0.27,0.44,0.4,0.63,0.17,0.09
Kcnn3,1.48,0.82,1.64,0.35,0.56,0.49,0.82,0.27,0.69,0.92,0.91,0.94
Usp32,20.7,23.09,19.09,13.29,27.27,19.47,25.28,14.87,43.07,71.08,31.47,40.69
Car4,6.9,4.68,3.52,4.08,0.41,0.13,0.25,0.25,0.19,0.35,0.16,0.08
Txnrd3,12.02,6.9,13.24,10.25,20.93,9.42,12.93,21.62,26.33,18.94,25.98,16.08
Fasl,0.08,0.03,0.18,0,0.06,0.02,0.1,0.02,0.03,0,0.41,0.21
Zfp512b,39.76,23.35,33.84,13.02,30.94,18.83,30.24,12.96,24.9,27.88,34.35,23.13
Dnajc5,40.73,29.11,40.97,17.36,44.96,24.67,35.58,14.78,35.44,38.04,30.22,34.53
Tpd52l2,117.93,107.12,143.99,113.03,140.65,146.86,123.73,128.72,121.89,152.2,114.58,117.24
Fmr1,111.61,63.17,93.94,75.92,156.77,55.9,99.56,95.6,226.25,174.83,70.81,78.02
Bcl11a,10.68,6.51,9.52,2.89,3.19,4.57,5.84,2.46,1.93,2.92,4.88,5.34
Il4,0.13,0,0,0,0,0,0,0,0,0,0,0
Pxmp4,10.45,8.15,10.44,11.02,14.3,7.59,11.31,14.88,13.93,11.73,9.45,8.73
Dlg3,21.57,14.74,20.98,27.4,50.23,13.21,17.62,34.2,32.7,35.66,16.93,18.02
Gnb1l,2.73,2.17,3.02,2.6,3.02,2.39,2,4.03,3.31,2.92,1.81,2.97
Dbh,3.18,1.51,0.96,0.03,0.19,0,0.24,0,0.06,0,0.09,0
Mmp11,77.84,91.34,82.06,89.2,84.39,91.07,87.17,114.1,74.95,55.55,183.67,161.52
Smarcb1,81.36,47.68,98.01,51.07,76.37,53.91,84.39,80.69,63.91,51.95,85.47,72.75
Vpreb3,0.1,0.12,0,0.1,0.12,0.06,0.66,0.29,0,0.42,0.16,0.24
Hip1r,4.12,2,3.97,3.21,6.65,2.41,2.34,5.38,5.41,9.58,3.44,3.19
Nsun5,15.54,7.67,15.74,13.63,18.56,9.02,16.75,26.16,25.1,18.03,9.27,10.92
Top1mt,5.55,3.74,6.48,5.33,8.72,3.9,4.57,11.19,8.06,7.71,4.85,4.54
Hoxa10,3.86,2.52,5.1,0.67,1.14,0.83,1.15,1.17,0.98,1.13,0.34,0.86
Hoxa4,3.66,2.88,4.89,0.91,1.01,0.48,0.59,0.62,0.71,0.9,0.29,0.33
Mmp14,110.01,72.94,122.86,52.78,78.09,60.36,71.73,73,61.82,67.04,66.38,71.61
Slc7a7,7.58,4.87,7.72,4,3.6,6.17,6.88,2.98,2.66,5.69,2.42,3.07
Oxa1l,59.06,32.63,67.8,53.73,77.59,33.96,52.91,75.89,56.77,55.51,35.12,43.28
Heatr6,9.23,5.35,8.59,3.71,6.64,3.82,7.72,3.09,5.9,5.85,6.18,5.89
Ccl3,1.24,0.58,0.9,0.64,1.5,0.19,0.61,0.77,1.06,0.72,0.18,0.19
Wfdc18,0.14,0,0.96,0,0,1.6,1.05,0,0,0,0.73,1.89
Icam4,1.47,0.75,1.06,0.35,1.08,0.45,0.49,1.79,1.47,1.69,0.3,0.55
Ilf2,179.81,169.04,226.04,150.34,179.78,216.45,176.42,173.04,135.75,162.74,205.28,200.07
Chtop,86.8,56.12,94.13,59.6,86.52,65.57,88.53,81.56,82.93,86.67,78.05,80.75
Snapin,29.31,20.85,27.39,32.11,41.71,21.54,30.48,35.81,46.76,53.54,26.25,39.17
S100a4,2.81,2.51,3.66,1.43,1.17,1.71,3.76,3.4,1.86,1.28,2.88,3.21
S100a3,0.14,0.05,0.78,0.11,0.18,0.12,0.45,0.3,0.63,0.14,0.36,0.12
S100a5,0,0,0,0,0,0,0,0,0,0,0,0
S100a6,13.07,13.96,19.7,14.77,15.72,14.47,12.87,17.98,14.13,11.81,23.64,15.68
Scn4a,0.13,0.07,0.27,0.03,0.09,0.02,0.05,0.02,0.04,0.05,0.02,0.01
Icam2,20.38,11.39,20.28,7.15,11.28,8.11,16.76,9.58,8.73,6.72,8.24,9.87
Mapk7,38.62,27.7,40.42,22.36,37.04,28.43,39.71,22.65,27.69,27.79,52.35,36.24
Epn2,19.7,13.52,14.42,16.94,33.48,16.92,21.1,20.98,38.68,52.84,33.03,30.01
B9d1,11.86,8.44,16.1,8.89,11.57,8.31,11.19,11.45,9.02,8.02,9.64,9.83
Sec24b,64.25,46.79,73.09,39.4,51.18,43.89,61.13,30.61,37.65,48.19,33.03,44.65
N4bp3,4.81,2.88,6.92,3.36,5.49,5.64,8.06,6.38,3.96,2.66,3.99,3.99
Rmnd5b,7.04,3.87,9.57,5.42,8.69,5.05,9.42,9.21,7.43,6.26,6.29,5.5
Nhp2,52.14,33.46,46.4,45.18,55.99,56.14,72.93,63,40.07,34.29,55.99,56.21
Vps9d1,31.46,18.53,39.68,12.96,19.46,14.23,24.22,16.98,17.81,19.04,17.74,18.03
Zfp276,11.52,5.36,11.49,5.06,8.69,5.84,10.14,6.78,7.59,7.06,6.34,6.08
C1ql4,0.28,0.45,0.28,0.07,0.12,0.07,0.07,0.03,0.08,0.09,0.08,0.06
Mfsd10,46.35,25.07,47.12,27.05,44.49,23.32,51.33,37.98,27.2,24.75,26.3,37.66
Luzp1,22.33,15.24,17.53,7.3,21.12,9.11,14.79,8.96,26.02,25.07,16.45,14.62
Slc13a2,0.04,0.06,0.02,0.02,0,0.66,2.13,0.03,0,0.04,0.34,0.6
Kctd10,47.82,44.74,56.04,29.82,40.47,41.17,41.03,28.34,29.13,33.1,52.03,39.29
Poldip2,51.95,37.43,57.52,44.44,64.95,36.44,51.15,57.1,58.5,60.53,36.9,41.11
Sebox,0,0,0,0,0,0.05,0,0,0,0,0,0
Ift20,95.77,76.84,118.87,80.59,110.87,89.08,128.66,150.58,97.65,74.62,102.1,97.1
Col6a1,24.59,14.74,28.52,21.07,48.91,33.96,61.49,42.73,45.8,57.19,79.82,65.24
Pcbp3,29.24,30.3,31.23,30.91,37.1,28.88,37.91,31.45,43.08,39.16,48.71,43.71
Lgals9,6.54,4.44,6.25,6.21,6.36,4.85,5.25,6.99,6.14,5.17,1.97,2.4
Araf,44,33.61,52.9,33.69,44.65,30.52,41.1,39.32,42.4,56.97,29.88,38.34
Cfp,1.99,1.43,3.51,1.25,0.88,1.18,1.26,0.88,0.72,1.45,0.95,1.31
Timp1,26.45,17.52,26.74,21.36,22.71,26.07,39.05,28.7,20.82,19.3,32.68,42.23
Uxt,21.01,20.47,26.71,33.77,39.23,21.19,28.2,57.32,39.9,45.31,21,26.41
Cnnm3,6.18,3.65,6.9,4.02,8.4,4.37,7.41,6.02,7.11,6.61,5.35,6.4
Lman2l,16.28,35.89,17.85,27.07,21.44,25.52,14.15,19.25,22.3,30.79,74.73,39.3
Mcm3ap,111.71,70.36,115.03,89.87,127.46,87.98,102.21,127.28,76.94,90.15,66.41,86.82
Pcnt,31.42,18.7,33.09,21.73,30.47,27.31,43.22,23.21,23.24,28.32,27.74,29.47
Ftcd,0.03,0.01,0.01,0.04,0.17,0.02,0,0.02,0.02,0.25,0,0.02
Mxd1,14.61,7.66,15.67,5.54,11.82,8.26,15.5,7.13,8.17,7.06,9.02,10.53
Gmcl1,26.82,20.06,27.58,23.79,39.26,17.44,26.61,33.05,36.15,40.12,16.25,21.44
Snrnp27,96.49,147.93,105.66,146.6,120.63,163.33,101.11,144.26,134.95,120.24,238.98,169.21
Oas1c,0.29,0.15,0.25,0.33,0.51,0.38,0.29,0.54,0.52,0.38,0.7,0.34
Oas1h,0,0,0,0,0,0,0.06,0,0,0,0,0
Ocrl,22.11,15.3,20.87,12.45,17.53,15.2,20.64,12.91,20.07,21.7,20.74,18.58
Calm1,420.97,417.71,454.97,398.78,407.46,468.42,448.48,394.85,339.03,493.79,293.98,417.11
Agpat3,18.65,13.41,25.08,14.04,20.73,11.79,15.17,20.65,16.64,15.45,15.18,12.72
Slc26a3,0.02,0,0.01,0.01,0,0,0.02,0.02,0,0,0.05,0
Sema6b,1.7,0.83,1.39,0.94,2.11,0.59,0.63,1.63,1.15,1.19,0.6,0.44
Uhrf1,63.11,42.61,77.14,32.57,51.64,45.1,66.57,40.47,54.36,62.39,59.51,49.48
Dpp9,15.62,9.82,19.82,9.81,14.82,8.81,15.64,12.1,11.58,12.58,14.15,11.44
Ramp2,58.51,45.01,57.09,28.43,30.88,38.63,56.91,29.5,34.13,31.45,37.05,35.55
Lsr,21.91,15.29,35.95,20.11,30.5,20.24,32.89,32.4,23.28,18.67,25.87,25.09
Gramd1a,31.46,21.42,45.2,14.76,19.99,18.98,31.64,15.19,14.26,14.74,13.15,17.22
Hpn,4.02,2.52,4.25,0.79,1.55,0.43,0.63,0.74,1.25,1.15,0.2,0.39
Gabrg1,0.13,0.05,0.16,0.03,0.08,0.07,0.15,0.05,0.11,0.1,0.07,0.04
Ckb,52.06,34.09,57.33,43.62,54.42,63.82,89.77,43.29,25.29,25.36,33.56,53.04
Sp1,40.02,26.42,36.7,21.14,47.8,26.45,41.95,15.36,35.01,39.77,38.48,40.03
Itgb7,0.55,0.58,0.63,0.71,0.29,1.38,2.08,0.43,0.2,0.32,0.1,0.65
Myg1,35.49,41.29,42.89,36.47,28.73,38.69,36.71,30.09,22.05,32.2,23.98,30.87
Rarg,9.72,7.09,9.23,4.62,6.88,3.67,5.02,7.2,8.21,9.17,10.87,8.2
Pfdn5,270.98,234.05,308.35,344.09,307.36,259.4,263.6,490.25,352.22,374.88,244.06,297.6
Efnb2,28.12,16.27,37.96,9.75,17.17,17.07,27.23,10.19,15.47,15.34,16.5,19.99
Rrp15,54.06,47.44,63.95,63.26,83.19,85.71,88.39,77.98,65.15,64.61,114.84,89.85
Rnd2,19.92,20.43,43.09,38.09,49.56,68.42,74.92,77.99,43.49,50.68,40.65,63.51
Srr,19.68,15.92,17.55,11.11,16,8.82,13.96,11.61,10.84,22.39,9.33,15.72
Sync,0.43,0.27,0.52,0.66,0.95,0.18,0.14,0.39,1.01,0.66,0.59,0.37
Fndc5,27.63,18.69,34.91,36.01,61.91,9.07,16.01,65.93,54.24,52.1,11.1,13.45
Acp5,6.65,4.7,6.04,3.2,4.14,3.17,2.14,5.78,5.11,6.33,1.87,2.52
Cnn1,2.19,1.93,1.55,0.5,0.37,0.99,0.84,0.61,0.32,0.39,3.31,1.9
Fbxo9,23.15,14.77,26.41,14.82,27.4,15.37,25.15,27.85,28.29,27.64,19.95,20.37
Vps50,34.13,45.73,29.48,41.17,59.79,57.26,53.84,45.1,56.83,53.21,128.06,69.42
Hars,54.16,42.49,61.74,36.19,45.02,42.81,52.94,39.62,36.08,41.43,51.52,46.3
Zmat2,111.59,79.34,138.65,102.13,126.94,136.28,124.26,146.51,103.73,115.1,132.61,114.91
Ube2c,252.78,220.2,189.13,237.92,183.74,313.06,377.95,220.65,167.61,142.66,254.42,283.01
Smg5,39.16,22.89,43.24,26.7,49.53,30.3,38.67,37.15,44.42,40.91,31.68,30.31
Cct3,198.29,155.75,227.69,213.49,274.7,213.5,247.13,288.81,327.22,281.82,230.9,259.01
Glmp,27.47,21.68,40.28,26.3,29.79,21.06,29.89,37.35,24.31,30.92,20.17,34.97
Mef2d,30.42,28.25,27.51,31.46,29.14,33.87,41.72,19.24,30.3,46.61,44.9,49.16
Tmem79,0.66,0.49,0.89,0.5,0.58,0.28,0.28,0.68,1.05,0.91,0.38,0.4
Snd1,162.08,49.78,212.41,72.31,195.15,75.56,177.79,146.33,128.35,75.95,112.45,107.38
Col18a1,138.35,134.17,162.93,114.92,130.22,424.06,396.19,72.29,107.97,166.25,201.86,309.45
Slc19a1,7.53,4.14,7.78,5.6,7.26,3.33,6.94,6.17,5.5,6.44,4.78,5.49
Kpnb1,452.25,724.71,512.14,553.97,492.8,824.94,512,294.04,306.67,636.38,607.4,779.18
Npepps,46.23,29.33,49.3,25.69,45.49,26.87,42.77,23.94,37.46,36.89,34.36,37.61
Tbx21,0,0,0,0.01,0.09,0.01,0,0.01,0.02,0.05,0.1,0.02
Mrpl10,21.8,14.19,23.85,13.95,21.13,15.95,21.39,19.07,21.21,17.6,13.13,18.03
Cyp51,35.6,19.13,41.39,15.76,28.83,19.97,28.26,22.86,23.68,20.63,39.9,40.63
Tcf25,103.48,114.97,133.95,123.43,118.93,154.51,98.99,123.72,98.75,183.01,167.41,126.93
Tubb6,19.58,14.47,22.94,7.84,9.52,12.56,17.13,11.88,13.35,10.94,19.48,15.85
Def8,21.06,10.45,19.73,11.38,21.1,9.61,15.32,14.35,13.31,11.81,8.14,10.46
Meox1,1.26,1.02,0.9,0.97,0.77,1.33,1.24,1.14,0.7,1.69,1.59,1.57
Sost,0.85,0.67,0.98,0.33,0.43,0.39,0.95,0.25,0.24,0.51,0.33,0.72
Nkx2-1,0,0.01,0,0,0,0,0,0,0,0,0,0
Pax9,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0,0.02,0,0.01
Irx2,2.02,1.67,1.67,1.81,2.95,0.54,0.25,2.59,2.92,3.27,1.5,0.8
