"","x"
"693","Zfp426"
"694","Zfp428"
"695","Zfp429"
"696","Zfp438"
"697","Zfp444"
"698","Zfp445"
"699","Zfp446"
"700","Zfp449"
"701","Zfp451"
"702","Zfp454"
"703","Zfp455"
"704","Zfp456"
"705","Zfp458"
"706","Zfp46"
"707","Zfp462"
"708","Zfp467"
"709","Zfp473"
"710","Zfp488"
"711","Zfp493"
"712","Zfp503"
"713","Zfp507"
"714","Zfp511"
"715","Zfp512"
"716","Zfp513"
"717","Zfp516"
"718","Zfp518a"
"719","Zfp518b"
"720","Zfp521"
"721","Zfp523"
"722","Zfp524"
"723","Zfp526"
"724","Zfp532"
"725","Zfp534"
"726","Zfp551"
"727","Zfp553"
"728","Zfp558"
"729","Zfp560"
"730","Zfp566"
"731","Zfp57"
"732","Zfp574"
"733","Zfp575"
"734","Zfp579"
"735","Zfp58"
"736","Zfp580"
"737","Zfp583"
"738","Zfp59"
"739","Zfp592"
"740","Zfp595"
"741","Zfp597"
"742","Zfp598"
"743","Zfp60"
"744","Zfp605"
"745","Zfp606"
"746","Zfp608"
"747","Zfp609"
"748","Zfp61"
"749","Zfp612"
"750","Zfp618"
"751","Zfp619"
"752","Zfp62"
"753","Zfp623"
"754","Zfp626"
"755","Zfp628"
"756","Zfp629"
"757","Zfp637"
"758","Zfp639"
"759","Zfp64"
"760","Zfp641"
"761","Zfp644"
"762","Zfp646"
"763","Zfp647"
"764","Zfp65"
"765","Zfp651"
"766","Zfp652"
"767","Zfp653"
"768","Zfp654"
"769","Zfp655"
"770","Zfp661"
"771","Zfp664"
"772","Zfp667"
"773","Zfp668"
"774","Zfp672"
"775","Zfp687"
"776","Zfp688"
"777","Zfp689"
"778","Zfp69"
"779","Zfp691"
"780","Zfp692"
"781","Zfp697"
"782","Zfp7"
"783","Zfp703"
"784","Zfp704"
"785","Zfp706"
"786","Zfp708"
"787","Zfp711"
"788","Zfp729a"
"789","Zfp729b"
"790","Zfp738"
"791","Zfp74"
"792","Zfp740"
"793","Zfp746"
"794","Zfp748"
"795","Zfp759"
"796","Zfp760"
"797","Zfp763"
"798","Zfp764"
"799","Zfp768"
"800","Zfp770"
"801","Zfp771"
"802","Zfp772"
"803","Zfp773"
"804","Zfp777"
"805","Zfp780b"
"806","Zfp784"
"807","Zfp786"
"808","Zfp787"
"809","Zfp791"
"810","Zfp800"
"811","Zfp82"
"812","Zfp820"
"813","Zfp821"
"814","Zfp827"
"815","Zfp830"
"816","Zfp84"
"817","Zfp85"
"818","Zfp850"
"819","Zfp865"
"820","Zfp87"
"821","Zfp872"
"822","Zfp874a"
"823","Zfp874b"
"824","Zfp879"
"825","Zfp882"
"826","Zfp9"
"827","Zfp90"
"828","Zfp91"
"829","Zfp93"
"830","Zfp94"
"831","Zfp942"
"832","Zfp943"
"833","Zfp944"
"834","Zfp945"
"835","Zfp946"
"836","Zfp947"
"837","Zfp953"
"838","Zfp954"
"839","Zfp956"
"840","Zfpm1"
"841","Zfpm2"
"842","Zfx"
"843","Zgpat"
"844","Zhx1"
"845","Zhx2"
"846","Zhx3"
"847","Zik1"
"848","Zkscan1"
"849","Zkscan14"
"850","Zkscan17"
"851","Zkscan2"
"852","Zkscan3"
"853","Zkscan4"
"854","Zkscan5"
"855","Zkscan6"
"856","Zkscan7"
"857","Zkscan8"
"858","Zmat1"
"859","Zscan10"
"860","Zscan12"
"861","Zscan18"
"862","Zscan2"
"863","Zscan20"
"864","Zscan21"
"865","Zscan22"
"866","Zscan25"
"867","Zscan26"
"868","Zscan29"
"869","Zxdc"
"870","Zzz3"
