,x
Bphl,b
Bpifa6,g
Bpifb4,b
Bpifb5,b
Bpnt1,g
Bptf,b
Braf,d
Brap,f
Brat1,f
Brca1,h
Brcc3,c
Brd1,b
Brd2,g
Brd7,b
Brd8,h
Brf1,d
Bri3,d
Bri3bp,c
Bricd5,g
Brinp1,d
Brip1,h
Brix1,b
Brk1,a
Brms1,g
Brms1l,b
Brpf1,f
Brpf3,g
Brwd3,d
Bsdc1,f
Bsg,g
Bspry,c
Bst2,b
Btaf1,e
Btbd10,b
Btbd11,d
Btbd17,c
Btbd19,c
Btbd2,b
Btbd3,g
Btbd6,b
Btbd7,e
Btbd9,c
Btc,b
Btd,f
Btg1,b
Btg3,h
Btk,d
Btnl1,c
Btrc,b
Bub1,h
Bub1b,h
Bud13,f
Bves,d
Bzw1,e
C030006K11Rik,c
C130074G19Rik,b
C1d,b
C1galt1,d
C1galt1c1,d
C1qa,d
C1qb,d
C1qc,d
C1ql2,g
C1qtnf1,e
C1qtnf2,c
C1qtnf3,d
C1qtnf4,c
C1qtnf6,c
C1qtnf7,c
C1qtnf9,g
C1ra,a
C1rb,g
C1rl,b
C1s1,b
C2,b
C2cd2,d
C2cd2l,e
C2cd3,f
C2cd4b,d
C2cd5,d
C330018D20Rik,e
C3ar1,d
C5ar1,d
C77080,c
C87436,b
Caap1,d
Cab39,b
Cab39l,c
Cabin1,e
Cables1,h
Cables2,b
Cabp1,h
Cachd1,c
Cacna1d,c
Cacna1g,d
Cacna1h,f
Cacna2d1,e
Cacna2d2,g
Cacnb1,c
Cacnb2,b
Cacnb3,c
Cacnb4,b
Cacng3,c
Cacng4,c
Cacng5,b
Cacng8,a
Cactin,f
Cacul1,g
Cad,f
Cadm1,h
Cadm4,g
Cadps,g
Cage1,g
Calb1,b
Calb2,g
Calcoco1,g
Calcrl,b
Cald1,c
Calhm2,g
Calm1,b
Calm2,b
Calm3,f
Calml4,c
Caln1,b
Calr,g
Calr4,g
Calu,e
Caly,c
Camk1,b
Camk1d,d
Camk1g,d
Camk2d,h
Camk2g,b
Camk2n1,d
Camkk1,d
Camkk2,f
Camkmt,b
Camkv,d
Caml,b
Camsap2,c
Camsap3,f
Camta1,c
Camta2,f
Cand1,f
Cand2,d
Cant1,f
Canx,g
Cap1,f
Cap2,c
Capg,d
Capn1,d
Capn10,a
Capn15,f
Capn2,c
Capn3,c
Capn5,f
Capn6,h
Capns1,d
Capns2,g
Caprin2,b
Capsl,b
Capza2,e
Capzb,c
Car11,d
Car12,e
Car13,a
Car14,c
Car2,d
Car3,d
Car4,c
Card10,f
Card11,c
Card9,d
Carf,b
Carns1,h
Cars2,a
Casc3,f
Casd1,c
Cask,c
Caskin1,g
Caskin2,g
Casp1,d
Casp12,b
Casp2,f
Casp3,c
Casp6,b
Casp8,a
Casp8ap2,h
Casp9,f
Casq1,g
Casq2,g
Cast,b
Cat,c
Catip,c
Catsper2,b
Cav1,b
Cav2,c
Cbfa2t2,c
Cbfa2t3,d
Cbfb,e
Cbl,g
Cblb,e
Cbln1,h
Cbln3,c
Cbln4,g
Cbr1,a
Cbr3,c
Cbs,c
Cbx1,b
Cbx2,f
Cbx3,c
Cbx5,e
Cbx6,d
Cbx7,c
Cc2d1a,f
Cc2d1b,f
Cc2d2a,b
Ccar1,b
Ccar2,f
Ccbe1,c
Ccdc102a,c
Ccdc103,b
Ccdc106,c
Ccdc112,b
Ccdc113,b
Ccdc117,d
Ccdc120,d
Ccdc122,a
Ccdc125,b
Ccdc126,a
Ccdc13,g
Ccdc136,b
Ccdc138,c
Ccdc141,c
Ccdc142,d
Ccdc15,h
Ccdc157,f
Ccdc159,c
Ccdc160,g
Ccdc163,e
Ccdc166,c
Ccdc167,b
Ccdc17,c
Ccdc170,c
Ccdc171,g
Ccdc172,b
Ccdc173,b
Ccdc18,h
Ccdc181,b
Ccdc186,g
Ccdc22,f
Ccdc24,b
Ccdc25,a
Ccdc28a,b
Ccdc28b,b
Ccdc3,d
Ccdc30,d
Ccdc32,b
Ccdc34,c
Ccdc39,h
Ccdc40,c
Ccdc42,c
Ccdc51,b
Ccdc57,c
Ccdc6,c
Ccdc60,d
Ccdc61,c
Ccdc62,b
Ccdc65,c
Ccdc68,c
Ccdc69,a
Ccdc73,b
Ccdc77,g
Ccdc8,d
Ccdc80,d
Ccdc82,d
Ccdc84,c
Ccdc85b,c
Ccdc86,a
Ccdc88a,d
Ccdc89,b
Ccdc9,b
Ccdc92,c
Ccdc93,e
Ccdc96,c
Ccdc97,f
Cchcr1,g
Cck,d
Ccl12,c
Ccl17,h
Ccl2,d
Ccl21b,b
Ccl27a,b
Ccl27b,c
Ccl3,c
Ccl4,c
Ccl6,d
Ccl7,d
Ccl9,d
Ccm2,c
Ccna2,h
Ccnb1,e
Ccnb1ip1,b
Ccnb2,h
Ccnb3,b
Ccnd1,e
Ccnd2,a
Ccnd3,d
Ccndbp1,b
Ccne1,d
Ccne2,d
Ccnf,e
Ccng1,g
Ccng2,d
Ccnh,b
Ccni,d
Ccnjl,d
Ccnk,f
Ccnt1,f
Ccnyl1,e
Ccpg1,g
Ccr1,d
Ccr6,g
Ccr7,d
Ccrl2,b
Ccs,b
Ccsap,d
Ccser2,c
Cct3,a
Cct6a,e
Cct6b,b
Cct8,e
Ccz1,d
Cd14,c
Cd151,g
Cd164,g
Cd164l2,b
Cd177,g
Cd180,d
Cd1d1,b
Cd200,b
Cd200r1,d
Cd248,d
Cd276,f
Cd2ap,d
Cd2bp2,h
Cd300a,d
Cd302,d
Cd320,g
Cd34,d
Cd36,c
Cd37,h
Cd38,g
Cd3eap,g
Cd44,b
Cd47,e
Cd48,c
Cd52,d
Cd53,d
Cd55,d
Cd59a,b
Cd63,b
Cd68,d
Cd7,g
Cd72,c
Cd74,a
Cd79b,c
Cd82,b
Cd83,c
Cd84,d
Cd86,d
Cd93,d
Cd99l2,g
Cda,h
Cdadc1,b
Cdan1,e
Cdc14b,c
Cdc16,c
Cdc20,h
Cdc25a,e
Cdc25b,d
Cdc25c,h
Cdc26,b
Cdc34,f
Cdc37l1,g
Cdc42bpa,c
Cdc42bpb,a
Cdc42ep1,h
Cdc42ep2,c
Cdc42ep3,d
Cdc42ep4,f
Cdc42ep5,b
Cdc42se1,g
Cdc42se2,g
Cdc45,h
Cdc6,h
Cdc7,h
Cdc73,c
Cdca2,h
Cdca3,h
Cdca4,h
Cdca5,h
Cdca7,c
Cdca7l,h
Cdca8,h
Cdcp1,d
Cdh10,d
Cdh11,d
Cdh13,d
Cdh16,e
Cdh17,d
Cdh18,d
Cdh19,g
Cdh2,e
Cdh23,g
Cdh24,d
Cdh26,d
Cdh3,h
Cdh4,g
Cdh5,g
Cdh6,d
Cdh9,d
Cdip1,f
Cdipt,b
Cdk1,h
Cdk12,e
Cdk14,b
Cdk15,c
Cdk16,f
Cdk17,c
Cdk19,g
Cdk2,b
Cdk20,h
Cdk5,b
Cdk5r1,d
Cdk6,a
Cdk7,b
Cdkl1,c
Cdkl2,b
Cdkl3,c
Cdkl5,f
Cdkn1a,c
Cdkn1b,b
Cdkn1c,d
Cdkn2aip,g
Cdkn2aipnl,g
Cdkn2b,h
Cdkn2c,d
Cdkn2d,d
Cdkn3,a
Cdo1,e
Cdon,d
Cdr2,e
Cdr2l,a
Cds2,d
Cdsn,g
Cdt1,h
Cdv3,e
Cdx2,d
Cdyl2,b
Ceacam1,c
Cebpa,g
Cebpb,d
Cebpd,e
Cebpe,c
Cebpz,g
Cebpzos,b
Cecr2,d
Cela1,b
Cela2a,h
Cela3b,g
Celf1,e
Celf2,a
Celf3,d
Celf4,c
Celsr1,g
Celsr2,g
Cemip,g
Cend1,g
Cenpa,h
Cenpb,b
Cenpc1,g
Cenpe,h
Cenpf,h
Cenph,h
Cenpi,h
Cenpj,h
Cenpk,h
Cenpl,h
Cenpm,h
Cenpn,h
Cenpo,h
Cenpp,h
Cenpq,h
Cenpt,a
Cenpu,h
Cenpv,g
Cenpw,h
Cep104,f
Cep112,b
Cep120,g
Cep126,b
Cep128,h
Cep131,d
Cep135,e
Cep152,h
Cep164,c
Cep170,d
Cep170b,f
Cep19,b
Cep192,h
Cep250,h
Cep295,h
Cep350,b
Cep41,h
Cep44,g
Cep55,h
Cep68,e
Cep72,h
Cep76,e
Cep78,d
Cep83,c
Cep85,h
Cep89,h
Cep97,h
Cept1,b
Cercam,g
Cerk,g
Cers2,g
Cers3,g
Cers4,b
Cers5,c
Cers6,g
Ces1d,e
Ces1g,d
Ces2g,b
Cetn2,a
Cetn3,b
Cetn4,b
Cfap126,b
Cfap20,b
Cfap36,b
Cfap45,b
Cfap53,c
Cfap57,d
Cfap70,b
Cfap74,d
Cfh,b
Cfi,a
Cflar,b
Cfp,d
Cftr,d
Cga,e
Cggbp1,g
Cgn,b
Cgnl1,h
Cgref1,d
Cgrrf1,g
Ch25h,c
Chac2,d
Chadl,g
Chaf1a,h
Chaf1b,h
Chchd1,b
Chchd10,g
Chchd2,e
Chchd4,b
Chchd6,b
Chchd7,a
Chd1,e
Chd1l,g
Chd2,c
Chd3,d
Chd6,g
Chd7,e
Chd8,f
Chd9,b
Chek1,h
Chek2,h
Cherp,f
Chga,d
Chgb,c
Chic1,d
Chic2,d
Chid1,g
Chil1,g
Chit1,b
Chka,g
