,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Gm11956,0,0,0,0,0,0,0,0,0,0,0,0
Rpl21-ps9,0,0.09,0,0,0.18,0.18,0,0,0,0,0,0
Gm5832,0,0,0,0,0,0,0,0,0,0,0,0
Gm16459,0,0,0,0,0,0,0,0,0,0.08,0,0
Gm6276,0.12,0.26,0,0.06,0,0,0,0,0.13,0.09,0,0
Gm12376,0,0,0,0,0,0,0,0,0,0,0,0
Gm8855,0,0,0,0,0,0,0,0,0,0,0,0
Gm7416,0,0,0,0,0,0,0,0,0,0,0,0
Gm12617,0,0,0,0,0,0,0,0,0,0,0,0
Gm14551,0,0,0,0,0,0,0.57,0,0,0,0,0
Gm15312,0,0,0,0,0,0,0,0,0,0,0,0
Gm14647,0,0,0,0,0,0,0,0,0,0,0,0
Gm11833,0,0,0,0,0,0,0,0,0,0,0,0
Gm14984,0,0,0,0,0,0,0,0,0,0,0,0
Gm14904,0,0,0,0,0,0,0,0,0,0,0,0
Rhox3b-ps,0,0,0,0,0,0,0,0,0,0,0.26,0
Gm8916,0,0,0,0,0,0,0,0,0,0,0,0
Gm5934,0,0,0,0,0,0,0,0,0,0,0,0
Gm15159,0,0,0,0,0,0,0,0,0,0,0,0
Gm13378,43.49,31.69,29.93,9.72,43.97,16.65,33.16,7.95,23.13,19.11,51.1,29.41
Gm11285,0,0,0,0,0,0,0,0,0,0,0,0
Gm14600,0,0,0,0,0,0,0,0,0,0,0,0
Or1v1-ps1,0,0,0,0,0,0,0,0,0,0,0,0
Gm12057,0.11,0.17,0.13,0.16,0.29,0.3,0.21,0.16,0.24,0.18,0.27,0.2
Gm14099,0,0,0,0,0,0,0,0,0,0,0,0
Gm11245,0,0,0,0,0,0,0,0,0,0,0,0
Gm5843,0,0,0,0,0,0,0,0,0,0,0,0
Gm13961,0.02,0.01,0.02,0.01,0,0.01,0.02,0,0.01,0,0.01,0
Vmn1r-ps135,0,0,0,0,0,0,0,0.09,0.13,0.09,0,0
Gm13422,0.14,0.24,0.25,0.43,0.33,0,0.14,0.33,0.17,0.34,0.33,0.57
Gm6136,183.15,84.94,151.16,113.16,136.78,99.75,153.73,150.36,186.9,101.19,126.72,115.72
Gm15710,12.26,2.54,8.46,4.03,12.16,5.76,15.99,14.54,14.51,6.26,4.9,4
Gm8421,0,0,0,0,0,0,0,0,0,0,0,0
Gm13566,0,0,0,0,0,0,0,0,0,0,0,0
Gm12460,0,0,0,0,0,0,0,0,0,0,0,0
Or8k26-ps1,0,0,0,0,0,0,0,0,0,0,0,0
Gm11624,0,0.03,0.09,0,0.06,0,0,0,0,0,0,0.03
Gm13169,2.99,2.67,3.16,3.56,7.23,1.81,1.21,4.56,5.79,5.01,1.05,1.97
Esrp2,2.79,1.97,2.47,1.52,2.71,1.46,2.69,1.84,2.25,1.58,1.48,1.47
