,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Ptp4a1,2.05,0.53,1.66,0.84,0.21,0.43,1.05,0.57,0.45,1.1,0.38,0.75
Slc9a4,0,0.02,0.03,0,0,0,0,0,0.03,0.03,0.68,0.31
Il18rap,0.22,0.12,0.45,0.01,0.16,0.01,0.05,0.04,0.04,0.01,0.03,0.04
Il1rl1,0.27,0.36,0.18,0.1,0.27,0.52,0.32,0.14,0.34,0.39,0.23,1.06
Il18r1,0,0.01,0,0.01,0,0.01,0,0,0,0,0.01,0.05
Il1r1,1.82,1.02,2.16,2.16,5.28,2.3,4.94,3.31,3.99,4.33,5.37,4.93
Il1r2,0,0.06,0.09,0.09,0.25,0.16,0.32,0.24,0.2,0.28,0.48,0.03
Map4k4,299.48,198.93,312.98,167.04,444.24,166.84,310.19,219.87,244.82,330.78,222.24,246.92
Npas2,0.25,0.15,0.39,0.34,1.14,0.15,0.43,1.03,0.99,1.09,0.73,0.51
Pdcl3,61.1,52.49,77.69,46.97,76.78,53.11,64.39,65.56,54.07,44.2,64.99,48.28
Chst10,2.93,1.42,2.57,2.36,5.71,1.64,2.46,4.27,5.32,6,2.78,3.16
Rev1,27.93,24.98,23.38,22.62,35.81,24.32,27.48,22.53,33.96,39.91,38.41,32.38
Eif5b,102.08,68.95,101.3,86.19,137.67,92,113.47,118.9,137.6,122.92,120.37,110.1
Lyg1,0,0,0,0.16,0,0.04,0,0.28,0.5,0.14,0,0.26
Mrpl30,151.52,106.6,187.81,155.66,196.73,139.74,188.82,217.06,205.36,144.81,168.2,157.18
Mitd1,20.63,14.61,21.24,16.19,19.07,15.57,21.84,19.44,15.54,16.61,16.55,16.24
Cracdl,0.79,0.43,0.88,1.82,5.44,2.47,4.44,3.69,5.04,3.5,13.21,10.24
Stk17b,9.33,6.59,9.34,7.74,16.1,11.92,17.82,12.76,22.09,22.02,17.5,19.43
Asnsd1,66.2,41.96,69.57,50.06,83.68,44.92,72.21,77.45,82.53,69.18,68.33,64.71
Osgepl1,14.5,8.87,13.34,8.54,13.08,8.12,13.9,12.81,16.78,11.65,14.45,12.44
Ormdl1,24.14,19.09,25.52,22.71,33.06,17.95,22.71,30.19,31.55,31.72,20.74,24.92
Pms1,13.14,8.75,14.52,10.76,17.54,10.88,14.48,10.67,12.8,13.51,10.77,12.9
Mstn,0,0.02,0.04,0,0.02,0,0,0,0.02,0,0,0
Inpp1,13.81,9.2,13.73,8.13,15.45,6.47,7.26,10.96,11.83,12.86,3.25,6.56
Gls,60.07,31.82,62.27,27.7,50.03,28.23,55.9,23.33,47.99,67.26,33.36,42.07
Stat1,10.01,5.79,7.58,4.1,7.48,4.23,6.93,5.23,8.54,7.75,7.24,6.06
Nabp1,43.56,29.59,51.68,24.1,42.96,73.34,122.75,41.75,115.93,61.58,165.13,122.97
Tmeff2,1.3,0.94,1.52,0.09,0.13,0.46,0.95,0.15,0.16,0.14,0.79,0.72
Mgat4a,2.53,1.07,2.64,2.04,4.73,2.62,5.27,1.41,1.95,3.97,9.17,10.11
Unc50,28.31,22.69,31.58,32.4,39.11,24.67,31.96,42.41,43.23,37.56,27.4,30.97
Coa5,39.09,24.35,37.4,20.76,37.64,17.38,30.91,19.16,28.51,32.17,17.24,28.01
Inpp4a,8.76,5.64,8.67,4.77,10.77,4.49,8.49,4.77,10.23,9.79,21.18,10.19
Cnga3,0.02,0.04,0.05,0.09,0.2,0.07,0.14,0.02,0.03,0.14,0.34,0.64
Tmem131,57.4,36.15,46.41,29.14,50.02,28.92,46.83,24.18,34.99,44.31,34.76,36.81
Zap70,0.23,0.16,0.17,0.19,0.8,0.11,0.15,0.58,0.61,0.45,0.07,0.17
Sema4c,20.43,15.06,21.86,9.15,12.83,8.19,12.48,7.84,7.72,11.03,6.13,9.96
Plekhb2,6.05,3.82,6.35,3.1,6.15,2.67,3.94,5.19,6.6,5.69,4.79,3.95
Cfc1,0,0.06,0,0.36,0.06,0.03,0,0.24,0,0.05,0.08,0.06
Prss39,0,0,0,0,0,0.08,0,0.06,0,0,0.03,0
Ptpn18,9.8,7.64,8.53,4.01,2.95,5.59,3.33,5.17,7.33,4.22,6.92,3.48
Imp4,18.9,11.12,20.28,13.36,20.36,15.51,18.8,14.26,14.41,16.07,14.57,16.59
Dst,58.58,41.82,71.6,29.79,37.91,39.46,84.48,20.84,24.53,35.46,73.68,42.47
Prim2,31.89,22.66,33.32,32.62,54.49,33.03,40.05,47.3,54.92,55.32,29.78,34.23
Zfp142,14.02,7.06,11.7,6.47,13.22,6.68,13.08,7.03,15.47,16.8,15.21,10.73
Col19a1,0.04,0.02,0.01,0.1,0.1,0.01,0.01,0.04,0.05,0.14,0.01,0.01
Rhbdd1,4.29,2.87,4.5,2.57,4.05,3.07,3.97,2.94,3.21,3.88,3.53,4.18
Col9a1,1.25,1.4,2.72,1.25,1.94,8.55,7.96,0.96,0.74,0.92,2.15,4.27
Tm4sf20,0,0,0.09,0,0,0,0,0,0,0.03,0,0
Mff,86.08,68.16,97.1,78.53,86.69,74.04,83.35,84.4,80.24,108.02,66.82,75.13
Fam135a,36.08,20.38,35.57,23.44,36.23,21.5,33.56,21.19,45.55,57.09,36.87,31.47
Sdhaf4,13.58,12.89,16.41,24.39,16.97,22.52,14.29,24.41,20.66,27.21,13.58,19.68
Smap1,77.41,56.78,84.24,59.19,112.79,61.53,79.41,78.59,103.52,88.5,62.82,62.31
B3gat2,1.17,0.77,1.18,0.38,0.93,0.29,0.65,1.26,0.82,0.36,0.38,0.31
Ogfrl1,12.18,8.1,10.18,6.95,10.56,7.63,8.79,9.11,6.3,10.55,9.99,11.11
Agfg1,40.92,28.26,39.44,25.37,42.26,25.83,37.67,31.42,35.18,37.29,36.7,36.72
Nhej1,4.63,3.11,5.45,4.83,6.88,4.93,5.76,12,10.81,7.7,7.82,6.43
Sphkap,11.84,7.32,7.73,1.19,1.68,0.99,1.66,0.36,0.62,0.94,0.89,0.92
Ccl20,0.23,0.04,0.27,0,0,0.09,0.15,0,0,0,0.06,0
Wnt10a,0.33,0.15,0.37,0.63,0.8,0.2,0.11,0.88,0.56,0.49,0.04,0.06
Cyp27a1,3.69,1.23,4.93,0.54,1.79,0.4,1.07,1.5,1.55,0.86,0.4,0.66
Rnf25,38.01,28.92,36.61,25.65,31.82,26.78,34.24,27.52,22.34,28.25,26.6,32.1
Bcs1l,9.87,7.77,12.54,9.57,11.71,7.84,12.61,12.59,10.88,12.95,8.65,9.91
Plcd4,0.56,0.09,0.57,0.13,0.56,0.17,0.63,1,0.95,0.18,0.46,0.24
Cnot9,99.96,91.54,71.23,95.03,112.08,98.78,122.19,77.46,120.86,107.77,123.18,150.84
Vil1,1.22,0.85,0.87,0.32,0.35,0.15,0.22,0.36,0.8,0.41,0.65,0.18
Ctdsp1,35.29,25.31,40.59,26.1,33.44,26.65,34.56,29.26,25.41,29.95,22.55,30.15
Slc11a1,1.96,1.18,1.83,1.13,1.45,2.1,2.29,1.21,0.69,1.07,1.85,2.23
Pnkd,38.36,25.92,49.39,29.88,42.81,39.32,55.09,40.47,36.69,37.04,34.3,42.68
Cxcr2,0.22,0.17,0.29,0.1,0.16,0.07,0.15,0.09,0.07,0.08,0.11,0.09
Ppm1f,16.56,11.43,19.26,8.65,15.57,9.59,14.03,9.04,10.32,11.8,8.97,13.18
Tnp1,0,0.1,0,0,0,0,0,0,0,0.28,0,0
Igfbp5,338.26,254.05,306.5,172.69,277.9,100.04,158.3,158.89,208.2,287.81,164.85,201.59
Xrcc5,60.93,35,62.54,35.45,67.28,44.98,70.39,52.98,62.9,40.82,85.47,64.71
Tmem169,1.39,1.03,0.84,0.41,0.71,0.89,0.65,0.44,0.81,0.38,0.88,0.99
Pecr,15.77,13.68,14.71,20.85,21.38,21.36,17.35,20.26,17.85,18.75,13.53,18.84
Atic,85.21,64.09,90.03,78.54,88.84,99.77,103.09,62.72,62.46,80.39,62.7,118.7
Fn1,243.68,147.17,231.35,73.71,114.99,133.18,200.9,51.02,76.26,130.18,277.71,179.46
Bard1,6.31,3.27,5.84,4.42,9.3,4.25,7.14,3.62,5.77,6.33,3.41,4.49
Zfand2b,14.93,11.86,14.87,14.21,14.21,11.71,13.55,19.94,12.73,13.37,11.31,12.8
Abcb6,11.35,5.91,11.63,10.15,21.12,6.95,13.02,26.24,27.07,20.6,31.14,19.43
Ankzf1,19.62,12.08,21.92,11.3,19.3,11.15,17.99,16.36,21.83,17.05,14.7,14.37
Glb1l,14.42,5.85,16.65,4.38,9.13,2.87,8.5,5.22,8.16,7.83,4.03,6.16
Stk16,39.18,25.16,50.03,31.3,41.56,25.91,37.68,52.07,35.85,36.36,23.53,30.75
Tuba4a,10.27,6.19,7.98,8.39,13.59,3.87,6.26,14.17,8.39,7.82,6.78,2.82
Dnajb2,20.45,14.75,22.28,15.76,20.7,12.17,16.69,24.19,15.33,14.57,10.44,12.38
Ptprn,0.44,0.11,0.42,0.09,0.23,0.13,0.1,0.05,0.01,0.01,0.01,0.03
Slc23a3,0.07,0.06,0.21,0.06,0,0.04,0,0.04,0.03,0.02,0,0.03
Speg,22.93,17.41,23.87,12.91,21.18,8.79,12.54,21.5,17.54,16.76,9.77,10.31
Des,8.16,4.79,9.84,2.89,3.89,2.69,3.34,4.42,4.01,3.41,3.36,3.7
Dnpep,59.54,33.49,61.98,34.9,50.72,33.59,56.63,54.69,59.44,46.42,38.28,49.74
Obsl1,169.55,108.3,195.78,102.22,132.75,107.65,190.63,102.93,88.99,88.66,66.07,86.27
Stk11ip,23.07,15.86,27.04,13.76,20.94,16.21,23.48,13.51,16.12,17.95,21.44,16.48
Trip12,219.82,133.45,201.98,110.51,257.08,136.96,222.05,134.63,235.78,303.66,414.91,315.53
Slc16a14,0.21,0.04,0.23,0.02,0.27,0.14,0.03,0.06,0.07,0.07,0.1,0.13
Sp100,0.57,0.42,0.57,0.11,0.48,0.21,0.27,0.49,0.2,0.3,0.6,0.18
Itm2c,68.46,47.34,84.16,49.09,81.31,43.03,65.42,85.8,71.47,54.14,44.32,46.7
4933407L21Rik,0.02,0.01,0.14,0.1,0.04,0.02,0.11,0.05,0.06,0,0,0.04
Spata3,0.06,0,0,0,0,0,0,0,0,0,0,0
2810459M11Rik,0.13,0.15,0.07,0.27,0.43,0.03,0.08,0.47,0.53,0.45,0.06,0.04
Htr2b,0.44,0.33,0.63,0.2,0.16,0.07,0.18,0.19,0.21,0.17,0.14,0.23
Psmd1,127.99,83.6,143.11,86.18,153.1,108.72,145.3,125.98,182.49,138.11,147.06,152.59
Ncl,811.12,633.66,895.61,686.81,1113.57,972.57,1019.16,859.43,869.87,989.26,1442.95,1164.94
Epha4,10.18,5.06,11.43,3.04,7.24,4.38,7.82,2.73,3.33,3.71,3.19,3.79
Nmur1,0,0,0.04,0,0,0.03,0,0,0.05,0.04,0,0
Ptma,3209.47,2542.25,3445.57,2313.92,2799.8,2672.99,2895.3,2714.33,2591.29,3044.69,2510.72,2803.95
Pde6d,14.62,16.72,17.88,20.26,19.96,16.14,13.41,30.9,43.56,34.86,16.49,17.84
Cops7b,16.81,13.55,20.4,12.05,14.5,14.81,17.94,10.51,13.79,15.56,16.63,15.78
Nppc,12.98,9.92,12.68,1.98,2.74,3.53,7.11,1.5,1.71,1.18,7.36,11.29
Farsb,44.25,28.93,49.31,40.36,66.13,41.53,60.27,55.84,61.28,53.6,46.17,49.22
Alppl2,0.07,0.08,0.18,0.01,0.03,0.21,0.19,0.02,0.03,0,0,0.19
Ecel1,0.31,0.25,0.26,0.29,0.26,0.02,0.05,0.56,0.28,0.21,0.28,0.31
Mrpl44,16.01,12.18,17.95,16.22,21.99,16.72,21.06,22.86,18.49,21.95,21.75,25.3
Serpine2,15.8,9.06,42.46,7.5,12,121.02,210.66,16.75,13.95,13.7,129.21,161.26
Chrnd,0.08,0.11,0.06,0.16,0.07,0.25,0.06,0.04,0,0,0.01,0.01
Chrng,0.03,0.01,0,0,0.02,0,0.03,0,0,0.05,0,0.01
Eif4e2,130.76,98.49,152.75,95.1,141.12,107.29,134.02,150.14,131.45,119.89,102.78,105.07
Efhd1,1.22,1.22,3.09,1.23,1.07,5.06,5.46,1.24,1.07,1.6,9.23,10.88
Snorc,0,0,0,0,0,0,0,0.12,0,0,0,0.09
Ngef,1.36,1.07,2.33,1.73,2.09,1.85,2.36,2.49,3.41,2.34,0.61,0.82
Ndufa10,86.79,98.73,100.18,106.88,80.62,110.3,98.91,94.68,110.85,137.14,84.91,132.09
Rnpepl1,9.91,5.98,11.17,7.11,13.93,5.35,8.22,13.89,11.4,11.15,5.5,6.03
Capn10,9.22,6.5,10.52,5.88,9.39,6.02,6.78,10.33,9.85,8.98,9.54,8.23
Gpr35,0.58,0.21,0.31,0.13,0.41,0.04,0.03,0.15,0.26,0.08,0.1,0.09
Agxt,0,0,0,0.07,0,0,0,0.05,0.39,0.09,0.03,0
Mterf4,23.89,17.68,24.2,24.13,29.15,20.79,22.87,33.05,28.18,26.57,29.16,25.83
Pask,11.74,6.39,12.64,7.45,14.04,9.12,14.66,8.17,11.83,11.2,10.29,11.47
Ppp1r7,41.21,40.75,44.01,39.25,63.27,51.26,55.62,45.31,45.19,66.56,54.54,72.62
Septin2,148.1,86.01,136.36,45.34,146.07,70.54,109.64,35.3,111.97,109.02,273.81,150
Stk25,82,55.56,84.25,61.24,95.82,64.93,87.22,109.34,168.32,127.14,74.64,78.67
Bok,7.36,4.71,11.23,3.9,4.08,8.7,11.19,6.22,4.82,5.45,6.35,6.83
Thap4,31.61,23.39,40.67,31.22,39.8,28.47,39.28,45.44,35.54,28.4,34.11,34
Atg4b,55.88,41.02,66.78,47.48,78.21,42.34,54.08,57.89,80.5,72.12,45.05,61.91
Dtymk,108.42,87.88,135.97,104.26,102.56,105.25,126.86,114.57,92,102.07,90.34,106.21
Ing5,25.48,15.56,25.32,14.53,27.14,18.31,24.73,11.34,15.64,19.1,17.93,22.86
Pdcd1,0.03,0,0.05,0.04,0.06,0.13,0.05,0.08,0,0.05,0.16,0.08
Inpp5d,4.05,3.13,4.7,3.64,6.81,2.2,2.35,4.24,2.94,4.29,1.88,1.81
Atg16l1,25.61,16.8,26.46,12.97,23.65,19.4,28.41,14.98,21.61,17.95,30.03,25.94
Spp2,0,0.05,0.11,0.31,0.14,0,0.08,0.2,0,0.05,0,0
Iqca,0.04,0.12,0.03,0.09,0.23,0.03,0.05,0.23,0.25,0.18,0.15,0.18
Mlph,0.16,0.25,0.28,0.39,0.48,0.83,0.98,0.09,0.18,0.24,1.56,1.48
Rab17,0.73,0.43,0.49,0.11,0.11,0.02,0.13,0.38,0.26,0.19,0.23,0.17
Lrrfip1,35,25.77,34.84,21.03,27.74,47.84,64.52,18.95,20.21,18.63,47.91,61.86
Scly,6.51,4.2,5.49,1.68,4.38,3.04,3.57,2.03,2.03,2.69,2.41,2.11
Klhl30,0.2,0.06,0.12,0.01,0.07,0.13,0.27,0.05,0.08,0.06,0.73,0.67
Ilkap,106.22,83.98,114.66,96.35,130.65,102.62,108.87,134.79,113.1,124.92,127.45,111.13
Asb1,5.53,3,5.14,2.26,4.84,1.79,4.55,4.43,10.04,6.04,3.95,4.52
Cdh7,1.02,0.36,1.12,0.38,0.53,0.08,0.22,0.27,0.68,0.54,0.29,0.13
Hdac4,8.39,5.02,9.04,4.27,8.36,4.9,8.32,4.26,6.87,9.28,6.84,6.91
Serpinb8,0.82,0.42,0.84,0.3,0.27,0.34,0.53,0.3,0.17,0.25,0.46,0.33
Cln8,5.1,3.02,5.27,2.23,4.81,2.8,4.71,3.13,4.37,2.6,3.84,2.69
Relch,20.73,11.74,19.58,13.96,25.99,14.06,23.9,23.57,46.92,35.63,26.93,27.07
Tnfrsf11a,0.57,0.4,0.8,0.15,0.38,0.17,0.28,0.16,0.19,0.27,0.26,0.39
Htr4,0,0,0,0.02,0.02,0,0,0.03,0,0.06,0.07,0.05
Serpinb11,0.02,0.01,0.02,0,0,0,0.02,0,0,0.02,0,0
Slco6c1,0,0,0,0,0,0,0.02,0,0,0,0,0
Gin1,8.86,7.47,9.31,8.74,13.36,10.93,12.43,12.89,14.19,14.75,12,11.4
Pam,48.3,34.16,65.06,67.42,136.37,42.18,52.79,105.28,95.9,130.76,37.12,43.04
Slco6d1,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc93,10.53,7.03,9.4,4.27,12.67,5.51,8.76,8.92,18.66,17.77,8.26,7.84
Actr3,288.27,239.84,357.3,230.73,287.14,328.12,347.71,233.44,204.26,349.77,353.66,470.51
Slc35f5,18.94,9.78,19.43,11.38,22.06,10.39,17.22,21.56,33.16,25.26,13.5,19.54
Gpr39,0.99,0.38,1.18,0.3,0.43,0.4,0.77,0.37,0.22,0.23,0.76,0.59
Lypd1,1.1,1.26,1.95,2.96,3.29,0.82,1.99,3,1.55,3.04,0.15,0.14
Tmem163,0.02,0.02,0.06,0.11,0.15,0.06,0.21,0.07,0.11,0.11,0.08,0.06
Acmsd,0.37,0.14,0.25,0.03,0.05,0,0.14,0.07,0.05,0.25,0.11,0.03
Ccnt2,54.44,32.68,51.96,22.17,39.18,25.35,50.71,14.43,22.95,35.1,34.47,37.69
Ubxn4,63.56,49.21,64.96,63.66,76.09,51.98,67.63,62.02,85.85,85.69,61.88,72.91
Lct,0.63,0.14,0.33,0.38,0.37,0.11,0.25,0.19,0.21,0.37,2.1,0.89
Mcm6,166.29,142.55,180.69,180.52,251.69,181.62,201.48,189.62,187.6,203.57,204.16,192.31
Dars,122.17,105.44,121.93,137.92,200.36,147.31,154.27,166.64,185.08,183.65,133.07,158.48
Rgs18,0.72,0.34,0.76,0.06,0.19,0.11,0.14,0.16,0.05,0.15,0.06,0.09
Rgs1,0,0.02,0.04,0.01,0,0,0.04,0.15,0.04,0.14,0.2,0.18
Rgs2,77.99,50.3,81.44,75.25,95.98,26.62,29.45,79.75,50.61,72.53,19.56,26.68
Cdc73,75.76,61.4,65.84,50.96,100.95,63.2,84.6,42.78,73.84,91.27,76.65,81.26
Cfh,16.76,12.46,13.4,8.08,10.31,11.44,10.24,6.14,8.71,14.51,19.14,14.6
F13b,0,0,0.02,0,0.02,0,0.02,0,0,0.05,0,0.01
Tsn,91.91,65.33,119.84,61.91,100.38,81.84,107.9,73.88,60.74,93.52,117.68,99.12
Nifk,68.96,52.27,79.06,65.95,76.13,70.56,61.73,67.65,57.54,67.94,96.24,90.15
Tfcp2l1,6.96,3.8,4.05,2.2,5.15,1.45,1.55,1.66,3.78,3.94,6.55,4.62
Epb41l5,26.55,20.34,23.55,12.59,28.75,14.01,19.73,11.92,18.96,25.18,24.97,22.09
Ptpn4,23.89,12.76,12.92,11.88,30.07,3.48,7.16,7.85,20.9,30,5.98,7.72
Dbi,409.73,281.04,628.53,383.44,580.2,383.37,432.44,909.29,527.79,431.91,272.07,266.86
Sctr,0.14,0.05,0.12,0.06,0,0.03,0.02,0.02,0,0,0,0.02
3110009E18Rik,8.51,6.85,9.85,9.82,12.61,7.54,13.56,10.19,9.77,6.53,7.58,7.66
Steap3,6.96,3.76,6.79,4.15,9.02,4.74,9.37,7,6.27,6.61,4.21,5.52
Marco,0.08,0.14,0.12,0.26,0.09,0.06,0.03,0.27,0.03,0.09,0.04,0.06
Nek7,23.78,17.97,24.59,20.05,28.89,12.86,17.42,19.19,21.3,28.95,11.41,17.62
Atp6v1g3,0.1,0,0.07,0,0,0,0,0,0.09,0,0,0
Ptprc,2.28,1.21,2.06,0.39,0.76,0.29,0.42,0.31,0.55,0.51,0.7,0.46
Nr5a2,4.5,3.4,3.71,4.72,9.16,6.42,8.15,2.28,2.48,3.26,7.41,8.46
Cd55,19.31,15.85,24.03,11.74,10.38,12.64,17.47,7.07,6.75,10.6,11.49,16.7
Cd55b,0.11,0.28,0.11,0.06,0,0.33,0.06,0.13,0.08,0.11,0.31,0.09
Ddx59,10.83,7.9,12.02,8.71,12.91,9.53,11.53,12.51,12.3,12.52,7.46,9.45
C4bp,0,0.17,0.3,0.03,0,0.01,0,0.05,0,0.09,0,0
Cacna1s,0.15,0.04,0.08,0.07,0.02,0.21,0.19,0.06,0.04,0.06,0.13,0.16
Pfkfb2,9.53,5.71,9.59,3.69,8.57,5.08,7.36,3.19,8.16,9.5,6.5,6.46
Tmem9,52.16,39.73,53.57,39.73,36.46,37.88,36.06,42.5,39,42.87,31.23,32.26
Pkp1,0.01,0.01,0.01,0,0.09,0.05,0.08,0.16,0.42,0.14,0.01,0
Tnnt2,2.6,3.11,3.73,1.28,2.14,4.89,6.56,1.8,2.63,1.58,2.86,3.8
Fcamr,0,0,0.05,0,0,0.04,0.03,0.02,0.03,0,0.13,0.11
Il20,0,0,0,0,0,0,0,0,0,0,0,0
Pigr,0.12,0,0,0.35,0,0,0,0.03,0.01,0,0.06,0.01
Tnni1,18.29,16.02,26.19,23.44,29.68,15.43,20.08,47.13,28.21,25.33,9.65,11.65
Il24,0,0,0,0,0,0,0,0,0,0,0,0
Csrp1,56.8,46.42,71.62,22.76,28.13,46.19,60.21,30.63,24.98,30.77,51.82,52.27
Gpr37l1,0.02,0.01,0,0,0,0.01,0,0,0,0,0,0
Srgap2,20.75,19.93,21.46,14.47,28.68,10.4,16.92,14.97,33.66,40.7,11.86,22.13
Arl8a,30.94,27.47,32.73,22.65,26.84,20.75,26.99,25.21,22.8,21.7,25.99,22.59
Eif2d,38.35,24.4,36.01,32.44,50.2,31.05,37.41,45.11,43.64,41.11,30.27,34.47
Ube2t,7.22,5.43,7.39,12.2,20.65,8.58,12.77,31.73,49.44,32.38,13.69,13.84
Rassf5,1.12,0.97,1.77,0.79,1.44,8.53,12.4,0.7,0.6,0.52,14.19,14.58
Avpr1b,0.05,0.02,0.06,0,0,0,0,0,0,0.01,0.02,0
Rab29,3.84,3.48,4.11,4.89,4.86,4.05,4.95,8.26,8.36,6.03,6.31,5.7
Nucks1,98.37,62.26,98.72,44.07,78.21,58.39,88.33,33.13,48.95,63.04,58.92,65.15
Slc45a3,1.46,1.12,1.72,0.9,0.91,1.71,2.4,0.75,0.73,0.56,4.15,3.66
Elk4,27.9,10.6,26.62,10.91,21.61,10.58,24.13,15.34,14.5,13.24,17.38,15.53
Cdk18,1.52,0.9,1.69,0.9,1.23,0.63,0.59,1.17,1.57,2.18,1.04,0.83
Rbbp5,41.02,32.87,47.21,29.14,53.01,42.36,48.05,24.55,40.51,50.82,70.61,63.82
Nfasc,0.58,0.22,0.25,0.04,0.47,0.33,0.31,0.1,0.39,0.39,2.1,0.98
Lrrn2,1.09,0.83,1.14,0.92,1.59,0.53,0.58,0.82,0.99,1.27,1.33,1.36
Pik3c2b,3.69,2.06,3.33,2.58,4.08,3.32,3.81,1.77,2.75,2.8,2.42,2.56
Chit1,0.03,0,0.07,0.7,0.91,0.15,0.32,1.63,1.06,1.37,0.89,0.57
Syt2,1.02,0.83,1.11,0.61,1.01,0.44,0.8,0.66,0.92,1.12,0.97,1.23
Klhl12,15.43,11.25,21.61,14.33,27.85,16.01,23.25,19.78,19.82,22.09,30.74,26.57
Cyb5r1,23.43,11.53,27.14,16.74,27.43,15.87,23.69,28.7,18.47,18.18,26.54,25.75
Adipor1,27.98,19.12,30.42,23.41,33.88,24.23,30.31,28.08,25.11,28.3,23.24,26.38
Ppfia4,2.63,1.39,2.34,2.13,3.62,0.91,1.23,3.5,3.54,3.53,3.22,1.56
Myog,0.03,0.04,0.03,0.16,0.66,0.04,0.13,0.36,0.72,0.33,0.42,0.27
Atp2b4,20.17,13.43,18.02,6.96,20.74,22.5,39.8,6.22,13.44,18.24,64.96,46.83
Tor1aip1,30.87,28.51,31.92,21.73,31.26,22.79,39.08,20.22,36.39,31.45,29.57,31.58
Lhx4,0.06,0,0.03,0.11,0.11,0.01,0.06,0.44,0.42,0.65,0.05,0.04
Xpr1,21.33,13.11,18.14,9.64,20.11,9.29,12.18,9.37,17.01,23.5,12.27,15.14
Stx6,57.64,38.48,66.08,35.93,47.91,34.44,56.81,43.71,51.53,46.85,67.61,45.93
Mr1,5.89,4.19,4.72,4.78,7.18,5.23,6.33,5.93,6.86,7.01,8.55,8.82
Glul,67.44,45.8,84.15,44.62,65.87,41.29,56.19,50.23,51.11,56.6,48.33,49.04
Rgs16,5.15,2.3,5.08,2.43,3.9,3.74,7.46,4.52,3.6,4.75,4.88,5.9
Lamc1,69.79,70.68,62.66,40.09,52.08,51.75,54.52,31.09,47.77,82.52,76.87,54.82
Lamc2,10.23,6.76,6.3,2.09,3.36,2.49,1.76,0.96,3.87,2.71,4.57,3.45
Ncf2,6.6,8.92,6.66,5.06,3.78,6.68,5.04,1.9,2.07,3.73,5.78,6
Rgl1,34.53,21.55,40.75,13.75,23.69,15.48,24.88,15.67,16.81,20.26,20.71,18.77
Niban1,8.35,6,7.57,7.16,17.8,2.48,4.53,9.99,17,23.06,9.24,10.65
Rnf2,210.4,171.29,186.71,147.7,226.37,158.65,217.81,162.04,218.15,233.93,169.35,213.04
Coq8a,8.56,4.21,6.58,9.96,17.04,7.85,9.47,21.7,17.67,20.71,14.75,14.79
Cdc42bpa,38.21,24.16,28.16,20.82,39.1,16.93,24.38,24.91,45.21,48.15,33.06,26.09
Ahctf1,50.22,27.05,52.71,29.72,47.5,30.56,48.25,33.76,40.12,37.08,41.2,30.2
Tfb2m,27.26,19.38,25.89,20.19,20.58,19.74,24.55,16.57,22.13,25.54,18.69,28.36
Kif26b,9.52,4.6,8.79,2.65,5.59,6.16,12.64,1.94,2.82,3.81,7.67,8.38
Efcab2,5.81,4.37,6.4,7.12,12.58,6.69,10.34,15.23,21.61,17.16,11.93,12.23
Parp1,190.43,124.32,204.96,156.93,265.47,162.02,209.31,152.29,156.63,161.16,162.42,156.47
Mixl1,0.5,0.34,0.32,1.21,1.44,0.33,0.6,1.71,1.71,1.21,0.18,0.18
Acbd3,37.57,24.88,37.59,28.59,54.82,31.21,47.42,36.65,54.49,48.57,37.56,43.92
Cox20,203.29,123.88,231.19,141.14,180,143.09,194.51,212.21,122.4,113.88,126.14,121.1
Desi2,12.1,8.56,10.9,7.41,13.91,9.95,11.69,8.73,15.28,15.22,10.61,14.03
Sdccag8,6.14,5.21,7.87,4.3,5.47,4.59,4.91,5.25,5.31,5.25,6.07,4.63
Capn2,84.29,33.39,77.68,25.04,55.41,22.68,50.37,39.6,41.74,36.28,29.42,28.59
Trp53bp2,27.21,24.71,27.86,16.98,24.9,19.53,21.07,16.03,19.66,27.68,16.61,16.07
Srp9,24.77,19.19,30.9,28.14,34.58,24.77,28.26,42.1,33.43,37.4,18.32,26
Cnih3,0.09,0,0.1,0.09,0.16,0.17,0.05,0.2,0.18,0.39,0.42,0.43
Nvl,15.79,9.53,15.76,12.02,20.62,12.54,20.47,15.81,15.66,15.56,18.81,17.87
Tmem63a,3.72,2.89,4.91,2.31,3.8,6.61,8.25,2.52,2.12,3.91,4.92,9.23
Pycr2,8.2,7.09,11.47,5.6,5.81,15.67,13.37,7.06,4.83,5.11,9.99,11.53
Wdr64,0.09,0.16,0.07,0.23,0.36,0.27,0.4,0.19,0.22,0.25,0.21,0.17
Opn3,5.12,2.99,5.89,4.57,6.48,4.27,4.21,8.5,10.73,7.97,3.64,3.71
Fh1,98.16,62.32,124.06,103.95,120.34,79.33,109.36,157.4,109.18,93.16,59.63,85.39
Rgs7,0.63,0.61,1.35,0.33,0.68,1.12,0.82,0.71,1.41,1.19,0.61,0.68
Mptx1,0,0,0,0,0,0,0,0,0,0,0,0
